dataset_name,split,metric,group_key,group_value,estimate,ci_lower,ci_upper,n_examples,n_annotators,n_resamples,notes
financial_phrasebank,test,accuracy,overall,all,0.99,0.99,0.99,100,6,1000,
financial_phrasebank,test,macro_f1,overall,all,0.9873927242348296,0.9873927242348296,0.9873927242348296,100,6,1000,
financial_phrasebank,test,ece,overall,all,0.16116666666666665,0.1591666666666666,0.16316875,100,6,1000,
financial_phrasebank,test,lari,overall,all,0.8282579301789829,0.8262008620034937,0.8302327156274526,100,6,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep0,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0.7_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep0,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep0,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
financial_phrasebank,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep1 vs gpt-4o-mini_temp0_rep2,1.0,,,100,2,1000,
