dataset,seed,pool_position,dataset_index,example_id,length_stratum,approx_text_tokens,population_size
financial_phrasebank,0,0,807,financial_phrasebank_train_807,medium,20,250
financial_phrasebank,0,1,1023,financial_phrasebank_train_1023,long,35,250
financial_phrasebank,0,5,888,financial_phrasebank_train_888,long,30,250
financial_phrasebank,0,7,448,financial_phrasebank_train_448,short,15,250
financial_phrasebank,0,9,651,financial_phrasebank_train_651,medium,17,250
financial_phrasebank,0,11,368,financial_phrasebank_train_368,short,10,250
financial_phrasebank,0,15,296,financial_phrasebank_train_296,short,15,250
financial_phrasebank,0,25,213,financial_phrasebank_train_213,long,51,250
financial_phrasebank,0,41,88,financial_phrasebank_train_88,short,11,250
financial_phrasebank,0,64,1162,financial_phrasebank_train_1162,short,12,250
financial_phrasebank,0,65,591,financial_phrasebank_train_591,medium,17,250
financial_phrasebank,0,77,790,financial_phrasebank_train_790,short,14,250
financial_phrasebank,0,89,1110,financial_phrasebank_train_1110,long,47,250
financial_phrasebank,0,91,1100,financial_phrasebank_train_1100,medium,16,250
financial_phrasebank,0,95,1017,financial_phrasebank_train_1017,long,33,250
financial_phrasebank,0,99,50,financial_phrasebank_train_50,long,37,250
financial_phrasebank,0,120,926,financial_phrasebank_train_926,short,10,250
financial_phrasebank,0,129,83,financial_phrasebank_train_83,long,30,250
financial_phrasebank,0,131,1133,financial_phrasebank_train_1133,medium,19,250
financial_phrasebank,0,149,399,financial_phrasebank_train_399,long,45,250
financial_phrasebank,0,152,32,financial_phrasebank_train_32,short,12,250
financial_phrasebank,0,156,668,financial_phrasebank_train_668,long,28,250
financial_phrasebank,0,160,263,financial_phrasebank_train_263,medium,23,250
financial_phrasebank,0,183,72,financial_phrasebank_train_72,short,15,250
financial_phrasebank,0,197,269,financial_phrasebank_train_269,medium,23,250
financial_phrasebank,0,200,1116,financial_phrasebank_train_1116,medium,23,250
financial_phrasebank,0,206,308,financial_phrasebank_train_308,medium,22,250
financial_phrasebank,0,208,1184,financial_phrasebank_train_1184,medium,20,250
financial_phrasebank,0,216,969,financial_phrasebank_train_969,short,13,250
financial_phrasebank,0,237,1031,financial_phrasebank_train_1031,long,36,250
trec,0,0,807,trec_train_807,medium,11,250
trec,0,2,137,trec_train_137,long,12,250
trec,0,4,107,trec_train_107,long,12,250
trec,0,5,888,trec_train_888,short,5,250
trec,0,7,448,trec_train_448,short,5,250
trec,0,14,484,trec_train_484,medium,9,250
trec,0,22,123,trec_train_123,short,8,250
trec,0,30,487,trec_train_487,long,14,250
trec,0,37,322,trec_train_322,short,6,250
trec,0,52,356,trec_train_356,short,7,250
trec,0,56,552,trec_train_552,short,7,250
trec,0,65,591,trec_train_591,medium,9,250
trec,0,95,1017,trec_train_1017,medium,9,250
trec,0,102,1093,trec_train_1093,short,8,250
trec,0,107,386,trec_train_386,long,18,250
trec,0,110,710,trec_train_710,long,17,250
trec,0,118,988,trec_train_988,long,11,250
trec,0,122,774,trec_train_774,short,8,250
trec,0,141,52,trec_train_52,long,12,250
trec,0,146,395,trec_train_395,medium,10,250
trec,0,161,541,trec_train_541,long,15,250
trec,0,164,1092,trec_train_1092,short,7,250
trec,0,165,1172,trec_train_1172,long,12,250
trec,0,181,736,trec_train_736,medium,10,250
trec,0,187,55,trec_train_55,short,7,250
trec,0,201,626,trec_train_626,medium,8,250
trec,0,202,744,trec_train_744,medium,8,250
trec,0,208,1184,trec_train_1184,medium,8,250
trec,0,210,1035,trec_train_1035,medium,8,250
trec,0,241,93,trec_train_93,long,14,250
banking77,0,1,1023,banking77_train_1023,long,13,250
banking77,0,2,137,banking77_train_137,medium,12,250
banking77,0,4,107,banking77_train_107,long,21,250
banking77,0,7,448,banking77_train_448,short,7,250
banking77,0,14,484,banking77_train_484,long,13,250
banking77,0,15,296,banking77_train_296,medium,10,250
banking77,0,17,418,banking77_train_418,short,6,250
banking77,0,24,1021,banking77_train_1021,short,9,250
banking77,0,45,464,banking77_train_464,short,6,250
banking77,0,63,475,banking77_train_475,short,8,250
banking77,0,71,822,banking77_train_822,short,6,250
banking77,0,73,1051,banking77_train_1051,medium,9,250
banking77,0,87,252,banking77_train_252,long,31,250
banking77,0,88,33,banking77_train_33,long,16,250
banking77,0,96,1196,banking77_train_1196,long,14,250
banking77,0,110,710,banking77_train_710,medium,10,250
banking77,0,114,913,banking77_train_913,long,13,250
banking77,0,125,1177,banking77_train_1177,short,8,250
banking77,0,142,54,banking77_train_54,medium,10,250
banking77,0,146,395,banking77_train_395,long,32,250
banking77,0,147,549,banking77_train_549,long,13,250
banking77,0,150,315,banking77_train_315,short,5,250
banking77,0,159,828,banking77_train_828,medium,12,250
banking77,0,183,72,banking77_train_72,medium,12,250
