dataset,strategy,budget,seed,macro_f1,accuracy,annotation_cost,selection_cost,total_cost,trajectory_type
financial_phrasebank,random,50,0,0.32824800549479577,0.6423841059602649,4.76,0.0,4.76,nested_cumulative
financial_phrasebank,random,100,0,0.45310482094291754,0.717439293598234,9.52,0.0,9.52,nested_cumulative
financial_phrasebank,random,250,0,0.47581214943838046,0.7350993377483444,23.799999999999997,0.0,23.799999999999997,nested_cumulative
financial_phrasebank,random,500,0,0.5991275403327521,0.7704194260485652,47.599999999999994,0.0,47.599999999999994,nested_cumulative
financial_phrasebank,random,1000,0,0.7060354420304931,0.8167770419426048,95.19999999999999,0.0,95.19999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,50,0,0.2756629983763305,0.6181015452538632,4.76,0.1,4.859999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,100,0,0.5540229006794999,0.7637969094922737,9.52,0.2,9.719999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,250,0,0.6992722017355688,0.7417218543046358,23.799999999999997,0.5,24.299999999999997,nested_cumulative
financial_phrasebank,uncertainty_al,500,0,0.7378242283255139,0.8211920529801324,47.599999999999994,1.0,48.599999999999994,nested_cumulative
financial_phrasebank,uncertainty_al,1000,0,0.750220767671396,0.8344370860927153,95.19999999999999,2.0,97.19999999999999,nested_cumulative
financial_phrasebank,diversity_al,50,0,0.25353397172822617,0.6136865342163356,4.76,0.15,4.91,nested_cumulative
financial_phrasebank,diversity_al,100,0,0.25353397172822617,0.6136865342163356,9.52,0.3,9.82,nested_cumulative
financial_phrasebank,diversity_al,250,0,0.25353397172822617,0.6136865342163356,23.799999999999997,0.75,24.549999999999997,nested_cumulative
financial_phrasebank,diversity_al,500,0,0.283533476401382,0.6247240618101545,47.599999999999994,1.5,49.099999999999994,nested_cumulative
financial_phrasebank,diversity_al,1000,0,0.6637482875106637,0.7991169977924945,95.19999999999999,3.0,98.19999999999999,nested_cumulative
financial_phrasebank,hybrid_al,50,0,0.25353397172822617,0.6136865342163356,4.76,0.2,4.96,nested_cumulative
financial_phrasebank,hybrid_al,100,0,0.4645517320256766,0.7218543046357616,9.52,0.4,9.92,nested_cumulative
financial_phrasebank,hybrid_al,250,0,0.72165461784665,0.7682119205298014,23.799999999999997,1.0,24.799999999999997,nested_cumulative
financial_phrasebank,hybrid_al,500,0,0.7316142557651991,0.8167770419426048,47.599999999999994,2.0,49.599999999999994,nested_cumulative
financial_phrasebank,hybrid_al,1000,0,0.7491725163843234,0.8344370860927153,95.19999999999999,4.0,99.19999999999999,nested_cumulative
financial_phrasebank,random,50,1,0.3904085237177723,0.6777041942604857,4.76,0.0,4.76,nested_cumulative
financial_phrasebank,random,100,1,0.5160583265111846,0.7262693156732892,9.52,0.0,9.52,nested_cumulative
financial_phrasebank,random,250,1,0.5334223572964523,0.7417218543046358,23.799999999999997,0.0,23.799999999999997,nested_cumulative
financial_phrasebank,random,500,1,0.556748208393754,0.7593818984547461,47.599999999999994,0.0,47.599999999999994,nested_cumulative
financial_phrasebank,random,1000,1,0.7351835879062188,0.82560706401766,95.19999999999999,0.0,95.19999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,50,1,0.5747022752925465,0.7483443708609272,4.76,0.1,4.859999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,100,1,0.6070248920803125,0.6335540838852097,9.52,0.2,9.719999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,250,1,0.6477038721922994,0.7615894039735099,23.799999999999997,0.5,24.299999999999997,nested_cumulative
financial_phrasebank,uncertainty_al,500,1,0.755103801285879,0.847682119205298,47.599999999999994,1.0,48.599999999999994,nested_cumulative
financial_phrasebank,uncertainty_al,1000,1,0.74821758391868,0.8322295805739515,95.19999999999999,2.0,97.19999999999999,nested_cumulative
financial_phrasebank,diversity_al,50,1,0.25353397172822617,0.6136865342163356,4.76,0.15,4.91,nested_cumulative
financial_phrasebank,diversity_al,100,1,0.25353397172822617,0.6136865342163356,9.52,0.3,9.82,nested_cumulative
financial_phrasebank,diversity_al,250,1,0.2596783799880881,0.6158940397350994,23.799999999999997,0.75,24.549999999999997,nested_cumulative
financial_phrasebank,diversity_al,500,1,0.3497781156397612,0.6512141280353201,47.599999999999994,1.5,49.099999999999994,nested_cumulative
financial_phrasebank,diversity_al,1000,1,0.664654238329735,0.7991169977924945,95.19999999999999,3.0,98.19999999999999,nested_cumulative
financial_phrasebank,hybrid_al,50,1,0.25353397172822617,0.6136865342163356,4.76,0.2,4.96,nested_cumulative
financial_phrasebank,hybrid_al,100,1,0.6904663576989553,0.7969094922737306,9.52,0.4,9.92,nested_cumulative
financial_phrasebank,hybrid_al,250,1,0.7298260475148606,0.7991169977924945,23.799999999999997,1.0,24.799999999999997,nested_cumulative
financial_phrasebank,hybrid_al,500,1,0.7395148176697969,0.8278145695364238,47.599999999999994,2.0,49.599999999999994,nested_cumulative
financial_phrasebank,hybrid_al,1000,1,0.7576947509935145,0.8388520971302428,95.19999999999999,4.0,99.19999999999999,nested_cumulative
financial_phrasebank,random,50,2,0.25353397172822617,0.6136865342163356,4.76,0.0,4.76,nested_cumulative
financial_phrasebank,random,100,2,0.2889655172413793,0.6269315673289183,9.52,0.0,9.52,nested_cumulative
financial_phrasebank,random,250,2,0.462944966884447,0.7284768211920529,23.799999999999997,0.0,23.799999999999997,nested_cumulative
financial_phrasebank,random,500,2,0.529658713458983,0.7682119205298014,47.599999999999994,0.0,47.599999999999994,nested_cumulative
financial_phrasebank,random,1000,2,0.7354056435269559,0.8278145695364238,95.19999999999999,0.0,95.19999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,50,2,0.3856870727239894,0.6490066225165563,4.76,0.1,4.859999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,100,2,0.7123544940369548,0.8035320088300221,9.52,0.2,9.719999999999999,nested_cumulative
financial_phrasebank,uncertainty_al,250,2,0.7124804153385198,0.7328918322295805,23.799999999999997,0.5,24.299999999999997,nested_cumulative
financial_phrasebank,uncertainty_al,500,2,0.7694770636247462,0.8366445916114791,47.599999999999994,1.0,48.599999999999994,nested_cumulative
financial_phrasebank,uncertainty_al,1000,2,0.7506289975991908,0.8344370860927153,95.19999999999999,2.0,97.19999999999999,nested_cumulative
financial_phrasebank,diversity_al,50,2,0.25353397172822617,0.6136865342163356,4.76,0.15,4.91,nested_cumulative
financial_phrasebank,diversity_al,100,2,0.25353397172822617,0.6136865342163356,9.52,0.3,9.82,nested_cumulative
financial_phrasebank,diversity_al,250,2,0.25353397172822617,0.6136865342163356,23.799999999999997,0.75,24.549999999999997,nested_cumulative
financial_phrasebank,diversity_al,500,2,0.2776890370473258,0.6225165562913907,47.599999999999994,1.5,49.099999999999994,nested_cumulative
financial_phrasebank,diversity_al,1000,2,0.6302857058046515,0.7902869757174393,95.19999999999999,3.0,98.19999999999999,nested_cumulative
financial_phrasebank,hybrid_al,50,2,0.25353397172822617,0.6136865342163356,4.76,0.2,4.96,nested_cumulative
financial_phrasebank,hybrid_al,100,2,0.5411118193967551,0.7637969094922737,9.52,0.4,9.92,nested_cumulative
financial_phrasebank,hybrid_al,250,2,0.7880159450208956,0.8454746136865342,23.799999999999997,1.0,24.799999999999997,nested_cumulative
financial_phrasebank,hybrid_al,500,2,0.792053338675787,0.8520971302428256,47.599999999999994,2.0,49.599999999999994,nested_cumulative
financial_phrasebank,hybrid_al,1000,2,0.7499989903579181,0.8322295805739515,95.19999999999999,4.0,99.19999999999999,nested_cumulative
financial_phrasebank,random,50,3,0.34473436765397275,0.6512141280353201,4.76,0.0,4.76,nested_cumulative
financial_phrasebank,random,100,3,0.4495726495726496,0.7152317880794702,9.52,0.0,9.52,nested_cumulative
financial_phrasebank,random,250,3,0.504020678567359,0.7284768211920529,23.799999999999997,0.0,23.799999999999997,nested_cumulative
financial_phrasebank,random,500,3,0.6078085635089612,0.7748344370860927,47.599999999999994,0.0,47.599999999999994,nested_cumulative
