dataset,budget,seed,strategy,macro_f1,best_gold_macro_f1,macro_f1_gap_vs_best_gold,best_gold_strategy,accuracy,best_gold_accuracy,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,prompt_version
ag_news,50,1,llm_annotator,0.2443077706929205,0.3636373535544668,-0.1193295828615463,random,0.343,0.422,0.74,0.6777888777888779,0.127,0.5917096903096903,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,50,2,llm_annotator,0.1954775318149945,0.212421661578017,-0.01694412976302251,hybrid_al,0.297,0.316,0.88,0.8715421091297668,0.076,0.8053049088359044,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,100,1,llm_annotator,0.2059020150000942,0.3462346871687531,-0.1403326721686589,random,0.309,0.425,0.75,0.7452384928504332,0.113,0.6610265431583342,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,100,2,llm_annotator,0.3171372953956486,0.3900673255114285,-0.07293003011577986,random,0.44,0.447,0.83,0.8232521349765074,0.044,0.787029041037541,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,250,1,llm_annotator,0.4672655530587222,0.6937573111727597,-0.22649175811403754,random,0.542,0.69,0.836,0.8315634577937437,0.037,0.8007956098553752,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,250,2,llm_annotator,0.4832725589275108,0.6765771882285208,-0.19330462930100994,random,0.529,0.672,0.844,0.8470541055995602,0.0307999999999999,0.8209648391470937,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,50,1,llm_annotator,0.0204868425842296,0.0443158696586383,-0.023829027074408697,diversity_al,0.03,0.046,0.58,0.2708719851576994,0.297,0.1904230055658627,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,50,2,llm_annotator,0.0097022166276036,0.035134739337445,-0.0254325227098414,diversity_al,0.036,0.109,0.54,0.2593073593073593,0.292,0.1835896103896103,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,100,1,llm_annotator,0.0415968171029257,0.0634410817761948,-0.021844264673269102,diversity_al,0.091,0.073,0.65,0.4652752009894866,0.2239999999999999,0.3610535559678416,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,100,2,llm_annotator,0.035072379194047,0.0492305173987351,-0.0141581382046881,diversity_al,0.057,0.073,0.61,0.4786023500309214,0.2109999999999999,0.377617254174397,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,250,1,llm_annotator,0.0802487601808198,0.1363999827238785,-0.05615122254305868,random,0.12,0.14,0.652,0.6222959997396087,0.1941999999999999,0.5014461165901767,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,250,2,llm_annotator,0.0871381896600808,0.1538379916022925,-0.0666998019422117,random,0.118,0.183,0.688,0.6505014105663456,0.154,0.5503241933391283,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,50,1,llm_annotator,0.0784914326090796,0.1381840571874812,-0.05969262457840159,hybrid_al,0.285,0.341,0.58,0.5586810761286024,0.2089999999999999,0.4419167312177245,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,50,2,llm_annotator,0.0743330743330743,0.1490100875731543,-0.07467701324007998,diversity_al,0.287,0.362,0.72,0.7153036153036153,0.0719999999999999,0.6638017550017551,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,100,1,llm_annotator,0.0743330743330743,0.1603665317203088,-0.08603345738723449,random,0.287,0.399,0.64,0.5901141952154705,0.148,0.5027772943235809,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,100,2,llm_annotator,0.0743330743330743,0.147357779892094,-0.0730247055590197,hybrid_al,0.287,0.381,0.62,0.617000835421888,0.1705,0.5118021929824561,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,250,1,llm_annotator,0.0751127254959023,0.1669176927450732,-0.09180496724917091,random,0.287,0.416,0.616,0.5966704998259994,0.1709999999999999,0.4946398443557535,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,250,2,llm_annotator,0.0788953806061115,0.1537645377041242,-0.07486915709801271,random,0.288,0.414,0.584,0.5672938172938172,0.2016,0.4529273837273836,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,50,1,llm_annotator,0.2959545727083554,0.5747022752925465,-0.27874770258419107,random,0.6225165562913907,0.7483443708609272,0.88,0.7995554497102484,0.0712,0.7426271016908786,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,50,2,llm_annotator,0.2535339717282261,0.5149187149329356,-0.2613847432047095,hybrid_al,0.6136865342163356,0.717439293598234,0.96,0.9433719433719432,0.15,0.8018661518661517,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,100,1,llm_annotator,0.4539179237658919,0.6904663576989553,-0.23654843393306335,hybrid_al,0.6777041942604857,0.7969094922737306,0.91,0.8846381490449288,0.0930999999999999,0.8022783373688459,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,100,2,llm_annotator,0.2835048678720445,0.5411118193967551,-0.25760695152471064,hybrid_al,0.6225165562913907,0.7637969094922737,0.93,0.9115884115884116,0.1174999999999999,0.8044767732267732,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,250,1,llm_annotator,0.5672629652042931,0.5538083150708689,0.013454650133424173,hybrid_al,0.7196467991169978,0.7748344370860927,0.912,0.8852411551202849,0.0980399999999999,0.7984521122722922,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,250,2,llm_annotator,0.5729361815694546,0.7050489329704334,-0.13211275140097878,hybrid_al,0.7284768211920529,0.7991169977924945,0.944,0.9323062458477636,0.1286,0.8124116626317411,gpt-4o-mini,text_classification_v1_zero_shot_json
