run_id,dataset_name,split,seed,task_type,example_id,difficulty_bucket,annotator_type,annotator_id,model_name,temperature,prompt_version,replicate_id,gold_label,predicted_label,confidence,correct,input_tokens,output_tokens,total_tokens,cost_usd,failure_category,rationale,notes,raw_response
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_28,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,2,2,0.95,True,475,37,512,9.345e-05,,The review expresses enjoyment and positive experiences at the museum.,,"{""id"": ""chatcmpl-E4Jmzegdtt7dpC0Z3xTM9uK4rOQNu"", ""object"": ""chat.completion"", ""created"": 1784698089, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""2\"",\n  \""confidence\"": 0.95,\n  \""rationale\"": \""The review expresses enjoyment and positive experiences at the museum.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 475, ""completion_tokens"": 37, ""total_tokens"": 512, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_5532169983""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_33,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,262,43,305,6.51e-05,,"The review contains several negative comments about the food and atmosphere, indicating a negative sentiment.",,"{""id"": ""chatcmpl-E4Jn0W5yI0750nNYWsxCSAyIJI64j"", ""object"": ""chat.completion"", ""created"": 1784698090, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The review contains several negative comments about the food and atmosphere, indicating a negative sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 262, ""completion_tokens"": 43, ""total_tokens"": 305, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_469628dc88""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_39,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,284,41,325,6.72e-05,,The text expresses strong negative sentiments about the airport and the city of Charlotte.,,"{""id"": ""chatcmpl-E4Jn2l330gxAUtmg5gyDT7rS9sQIY"", ""object"": ""chat.completion"", ""created"": 1784698092, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses strong negative sentiments about the airport and the city of Charlotte.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 284, ""completion_tokens"": 41, ""total_tokens"": 325, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_47,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,320,41,361,7.26e-05,,"The review expresses disappointment with the service and value, indicating a negative sentiment.",,"{""id"": ""chatcmpl-E4Jn3COKOsYzxIeoYfQ7xWmS8ffvi"", ""object"": ""chat.completion"", ""created"": 1784698093, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The review expresses disappointment with the service and value, indicating a negative sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 320, ""completion_tokens"": 41, ""total_tokens"": 361, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_d13ed9375e""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_213,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,452,37,489,8.999999999999999e-05,,The review expresses dissatisfaction with the food and overall experience.,,"{""id"": ""chatcmpl-E4Jn5ZDQm136n9q0vwKhgHr5jVfNB"", ""object"": ""chat.completion"", ""created"": 1784698095, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The review expresses dissatisfaction with the food and overall experience.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 452, ""completion_tokens"": 37, ""total_tokens"": 489, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_9899ea5f96""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_246,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,2,2,0.9,True,239,38,277,5.865e-05,,The text expresses positive sentiments about the service and food consistency.,,"{""id"": ""chatcmpl-E4Jn7Uknb2jEJjPB6w5I4Ny0D4CVU"", ""object"": ""chat.completion"", ""created"": 1784698097, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""2\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text expresses positive sentiments about the service and food consistency.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 239, ""completion_tokens"": 38, ""total_tokens"": 277, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_db286bd4bf""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_252,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.95,True,1033,38,1071,0.00017775,,The review expresses significant dissatisfaction with the service and food quality.,,"{""id"": ""chatcmpl-E4Jn9EYDOYwMgsDnQi2phCI7YRmjW"", ""object"": ""chat.completion"", ""created"": 1784698099, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.95,\n  \""rationale\"": \""The review expresses significant dissatisfaction with the service and food quality.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 1033, ""completion_tokens"": 38, ""total_tokens"": 1071, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_30570f0196""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_264,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,242,37,279,5.85e-05,,The review expresses dissatisfaction with the food and overall experience.,,"{""id"": ""chatcmpl-E4JnAw7eQHzW5DyHMvTvlf0POhG7D"", ""object"": ""chat.completion"", ""created"": 1784698100, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The review expresses dissatisfaction with the food and overall experience.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 242, ""completion_tokens"": 37, ""total_tokens"": 279, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_d13ed9375e""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_368,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,232,40,272,5.88e-05,,"The text expresses dissatisfaction with the food, indicating a negative review sentiment.",,"{""id"": ""chatcmpl-E4JnCl0xxIeSKFSZ59DjwOR93VMFT"", ""object"": ""chat.completion"", ""created"": 1784698102, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses dissatisfaction with the food, indicating a negative review sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 232, ""completion_tokens"": 40, ""total_tokens"": 272, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_6cc92eaef9""}"
yelp_polarity_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,yelp_polarity,train,0,classification,yelp_polarity_train_383,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,1,1,0.85,True,421,42,463,8.835e-05,,"The review expresses dissatisfaction with the service and food quality, indicating a negative sentiment.",,"{""id"": ""chatcmpl-E4JnEpXm3YczGqQEMhnmBKh4rv8c4"", ""object"": ""chat.completion"", ""created"": 1784698104, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""1\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The review expresses dissatisfaction with the service and food quality, indicating a negative sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 421, ""completion_tokens"": 42, ""total_tokens"": 463, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_8c62eb5aea""}"
