dataset_name,split,comparison,metric,delta,p_value,p_value_bonferroni,significant,notes
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep1,accuracy,0.0,1.0,1.0,False,
