dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
financial_phrasebank,random,50,0,0.32587412587412584,0.6423841059602649,low,0.03,0.0,1.5,0.0,1.5
financial_phrasebank,random,50,0,0.32587412587412584,0.6423841059602649,base,0.1,0.0,5.0,0.0,5.0
financial_phrasebank,random,50,0,0.32587412587412584,0.6423841059602649,high,0.3,0.0,15.0,0.0,15.0
financial_phrasebank,random,100,0,0.339832406869659,0.6490066225165563,low,0.03,0.0,3.0,0.0,3.0
financial_phrasebank,random,100,0,0.339832406869659,0.6490066225165563,base,0.1,0.0,10.0,0.0,10.0
financial_phrasebank,random,100,0,0.339832406869659,0.6490066225165563,high,0.3,0.0,30.0,0.0,30.0
financial_phrasebank,random,250,0,0.6473081070237469,0.7726269315673289,low,0.03,0.0,7.5,0.0,7.5
financial_phrasebank,random,250,0,0.6473081070237469,0.7726269315673289,base,0.1,0.0,25.0,0.0,25.0
financial_phrasebank,random,250,0,0.6473081070237469,0.7726269315673289,high,0.3,0.0,75.0,0.0,75.0
financial_phrasebank,random,500,0,0.6494163689057694,0.7902869757174393,low,0.03,0.0,15.0,0.0,15.0
financial_phrasebank,random,500,0,0.6494163689057694,0.7902869757174393,base,0.1,0.0,50.0,0.0,50.0
financial_phrasebank,random,500,0,0.6494163689057694,0.7902869757174393,high,0.3,0.0,150.0,0.0,150.0
financial_phrasebank,random,1000,0,0.7484844361463,0.8344370860927153,low,0.03,0.0,30.0,0.0,30.0
financial_phrasebank,random,1000,0,0.7484844361463,0.8344370860927153,base,0.1,0.0,100.0,0.0,100.0
financial_phrasebank,random,1000,0,0.7484844361463,0.8344370860927153,high,0.3,0.0,300.0,0.0,300.0
financial_phrasebank,uncertainty_al,50,0,0.25353397172822617,0.6136865342163356,low,0.03,0.002,1.5,0.1,1.6
financial_phrasebank,uncertainty_al,50,0,0.25353397172822617,0.6136865342163356,base,0.1,0.002,5.0,0.1,5.1
financial_phrasebank,uncertainty_al,50,0,0.25353397172822617,0.6136865342163356,high,0.3,0.002,15.0,0.1,15.1
financial_phrasebank,uncertainty_al,100,0,0.21144017363299028,0.26490066225165565,low,0.03,0.002,3.0,0.2,3.2
financial_phrasebank,uncertainty_al,100,0,0.21144017363299028,0.26490066225165565,base,0.1,0.002,10.0,0.2,10.2
financial_phrasebank,uncertainty_al,100,0,0.21144017363299028,0.26490066225165565,high,0.3,0.002,30.0,0.2,30.2
financial_phrasebank,uncertainty_al,250,0,0.3940552104300163,0.3443708609271523,low,0.03,0.002,7.5,0.5,8.0
financial_phrasebank,uncertainty_al,250,0,0.3940552104300163,0.3443708609271523,base,0.1,0.002,25.0,0.5,25.5
financial_phrasebank,uncertainty_al,250,0,0.3940552104300163,0.3443708609271523,high,0.3,0.002,75.0,0.5,75.5
financial_phrasebank,uncertainty_al,500,0,0.6136614970468536,0.5982339955849889,low,0.03,0.002,15.0,1.0,16.0
financial_phrasebank,uncertainty_al,500,0,0.6136614970468536,0.5982339955849889,base,0.1,0.002,50.0,1.0,51.0
financial_phrasebank,uncertainty_al,500,0,0.6136614970468536,0.5982339955849889,high,0.3,0.002,150.0,1.0,151.0
financial_phrasebank,uncertainty_al,1000,0,0.8026761819803747,0.8675496688741722,low,0.03,0.002,30.0,2.0,32.0
financial_phrasebank,uncertainty_al,1000,0,0.8026761819803747,0.8675496688741722,base,0.1,0.002,100.0,2.0,102.0
financial_phrasebank,uncertainty_al,1000,0,0.8026761819803747,0.8675496688741722,high,0.3,0.002,300.0,2.0,302.0
financial_phrasebank,diversity_al,50,0,0.25353397172822617,0.6136865342163356,low,0.03,0.003,1.5,0.15,1.65
financial_phrasebank,diversity_al,50,0,0.25353397172822617,0.6136865342163356,base,0.1,0.003,5.0,0.15,5.15
financial_phrasebank,diversity_al,50,0,0.25353397172822617,0.6136865342163356,high,0.3,0.003,15.0,0.15,15.15
financial_phrasebank,diversity_al,100,0,0.25353397172822617,0.6136865342163356,low,0.03,0.003,3.0,0.3,3.3
financial_phrasebank,diversity_al,100,0,0.25353397172822617,0.6136865342163356,base,0.1,0.003,10.0,0.3,10.3
financial_phrasebank,diversity_al,100,0,0.25353397172822617,0.6136865342163356,high,0.3,0.003,30.0,0.3,30.3
financial_phrasebank,diversity_al,250,0,0.25353397172822617,0.6136865342163356,low,0.03,0.003,7.5,0.75,8.25
financial_phrasebank,diversity_al,250,0,0.25353397172822617,0.6136865342163356,base,0.1,0.003,25.0,0.75,25.75
financial_phrasebank,diversity_al,250,0,0.25353397172822617,0.6136865342163356,high,0.3,0.003,75.0,0.75,75.75
financial_phrasebank,diversity_al,500,0,0.3160740740740741,0.6379690949227373,low,0.03,0.003,15.0,1.5,16.5
financial_phrasebank,diversity_al,500,0,0.3160740740740741,0.6379690949227373,base,0.1,0.003,50.0,1.5,51.5
financial_phrasebank,diversity_al,500,0,0.3160740740740741,0.6379690949227373,high,0.3,0.003,150.0,1.5,151.5
financial_phrasebank,diversity_al,1000,0,0.6215467328370554,0.7748344370860927,low,0.03,0.003,30.0,3.0,33.0
financial_phrasebank,diversity_al,1000,0,0.6215467328370554,0.7748344370860927,base,0.1,0.003,100.0,3.0,103.0
financial_phrasebank,diversity_al,1000,0,0.6215467328370554,0.7748344370860927,high,0.3,0.003,300.0,3.0,303.0
financial_phrasebank,hybrid_al,50,0,0.4609659346501452,0.6843267108167771,low,0.03,0.004,1.5,0.2,1.7
financial_phrasebank,hybrid_al,50,0,0.4609659346501452,0.6843267108167771,base,0.1,0.004,5.0,0.2,5.2
financial_phrasebank,hybrid_al,50,0,0.4609659346501452,0.6843267108167771,high,0.3,0.004,15.0,0.2,15.2
financial_phrasebank,hybrid_al,100,0,0.48491749600729755,0.6865342163355408,low,0.03,0.004,3.0,0.4,3.4
financial_phrasebank,hybrid_al,100,0,0.48491749600729755,0.6865342163355408,base,0.1,0.004,10.0,0.4,10.4
financial_phrasebank,hybrid_al,100,0,0.48491749600729755,0.6865342163355408,high,0.3,0.004,30.0,0.4,30.4
financial_phrasebank,hybrid_al,250,0,0.6465270067589941,0.7571743929359823,low,0.03,0.004,7.5,1.0,8.5
financial_phrasebank,hybrid_al,250,0,0.6465270067589941,0.7571743929359823,base,0.1,0.004,25.0,1.0,26.0
financial_phrasebank,hybrid_al,250,0,0.6465270067589941,0.7571743929359823,high,0.3,0.004,75.0,1.0,76.0
financial_phrasebank,hybrid_al,500,0,0.7631692133559707,0.8300220750551877,low,0.03,0.004,15.0,2.0,17.0
financial_phrasebank,hybrid_al,500,0,0.7631692133559707,0.8300220750551877,base,0.1,0.004,50.0,2.0,52.0
financial_phrasebank,hybrid_al,500,0,0.7631692133559707,0.8300220750551877,high,0.3,0.004,150.0,2.0,152.0
financial_phrasebank,hybrid_al,1000,0,0.8011430498529181,0.8631346578366446,low,0.03,0.004,30.0,4.0,34.0
financial_phrasebank,hybrid_al,1000,0,0.8011430498529181,0.8631346578366446,base,0.1,0.004,100.0,4.0,104.0
financial_phrasebank,hybrid_al,1000,0,0.8011430498529181,0.8631346578366446,high,0.3,0.004,300.0,4.0,304.0
financial_phrasebank,random,50,1,0.3579554308867072,0.6578366445916115,low,0.03,0.0,1.5,0.0,1.5
financial_phrasebank,random,50,1,0.3579554308867072,0.6578366445916115,base,0.1,0.0,5.0,0.0,5.0
financial_phrasebank,random,50,1,0.3579554308867072,0.6578366445916115,high,0.3,0.0,15.0,0.0,15.0
financial_phrasebank,random,100,1,0.47016520894071917,0.6821192052980133,low,0.03,0.0,3.0,0.0,3.0
financial_phrasebank,random,100,1,0.47016520894071917,0.6821192052980133,base,0.1,0.0,10.0,0.0,10.0
financial_phrasebank,random,100,1,0.47016520894071917,0.6821192052980133,high,0.3,0.0,30.0,0.0,30.0
financial_phrasebank,random,250,1,0.6840540004971672,0.7902869757174393,low,0.03,0.0,7.5,0.0,7.5
financial_phrasebank,random,250,1,0.6840540004971672,0.7902869757174393,base,0.1,0.0,25.0,0.0,25.0
financial_phrasebank,random,250,1,0.6840540004971672,0.7902869757174393,high,0.3,0.0,75.0,0.0,75.0
financial_phrasebank,random,500,1,0.6343779677113011,0.7836644591611479,low,0.03,0.0,15.0,0.0,15.0
financial_phrasebank,random,500,1,0.6343779677113011,0.7836644591611479,base,0.1,0.0,50.0,0.0,50.0
financial_phrasebank,random,500,1,0.6343779677113011,0.7836644591611479,high,0.3,0.0,150.0,0.0,150.0
financial_phrasebank,random,1000,1,0.7706640245814645,0.8454746136865342,low,0.03,0.0,30.0,0.0,30.0
financial_phrasebank,random,1000,1,0.7706640245814645,0.8454746136865342,base,0.1,0.0,100.0,0.0,100.0
financial_phrasebank,random,1000,1,0.7706640245814645,0.8454746136865342,high,0.3,0.0,300.0,0.0,300.0
financial_phrasebank,uncertainty_al,50,1,0.25353397172822617,0.6136865342163356,low,0.03,0.002,1.5,0.1,1.6
financial_phrasebank,uncertainty_al,50,1,0.25353397172822617,0.6136865342163356,base,0.1,0.002,5.0,0.1,5.1
financial_phrasebank,uncertainty_al,50,1,0.25353397172822617,0.6136865342163356,high,0.3,0.002,15.0,0.1,15.1
financial_phrasebank,uncertainty_al,100,1,0.41364202549490364,0.3973509933774834,low,0.03,0.002,3.0,0.2,3.2
financial_phrasebank,uncertainty_al,100,1,0.41364202549490364,0.3973509933774834,base,0.1,0.002,10.0,0.2,10.2
financial_phrasebank,uncertainty_al,100,1,0.41364202549490364,0.3973509933774834,high,0.3,0.002,30.0,0.2,30.2
financial_phrasebank,uncertainty_al,250,1,0.34184429373658226,0.31788079470198677,low,0.03,0.002,7.5,0.5,8.0
financial_phrasebank,uncertainty_al,250,1,0.34184429373658226,0.31788079470198677,base,0.1,0.002,25.0,0.5,25.5
financial_phrasebank,uncertainty_al,250,1,0.34184429373658226,0.31788079470198677,high,0.3,0.002,75.0,0.5,75.5
financial_phrasebank,uncertainty_al,500,1,0.48045052550628037,0.4304635761589404,low,0.03,0.002,15.0,1.0,16.0
financial_phrasebank,uncertainty_al,500,1,0.48045052550628037,0.4304635761589404,base,0.1,0.002,50.0,1.0,51.0
financial_phrasebank,uncertainty_al,500,1,0.48045052550628037,0.4304635761589404,high,0.3,0.002,150.0,1.0,151.0
financial_phrasebank,uncertainty_al,1000,1,0.8168241448070583,0.8763796909492274,low,0.03,0.002,30.0,2.0,32.0
financial_phrasebank,uncertainty_al,1000,1,0.8168241448070583,0.8763796909492274,base,0.1,0.002,100.0,2.0,102.0
financial_phrasebank,uncertainty_al,1000,1,0.8168241448070583,0.8763796909492274,high,0.3,0.002,300.0,2.0,302.0
financial_phrasebank,diversity_al,50,1,0.25353397172822617,0.6136865342163356,low,0.03,0.003,1.5,0.15,1.65
financial_phrasebank,diversity_al,50,1,0.25353397172822617,0.6136865342163356,base,0.1,0.003,5.0,0.15,5.15
financial_phrasebank,diversity_al,50,1,0.25353397172822617,0.6136865342163356,high,0.3,0.003,15.0,0.15,15.15
financial_phrasebank,diversity_al,100,1,0.25353397172822617,0.6136865342163356,low,0.03,0.003,3.0,0.3,3.3
financial_phrasebank,diversity_al,100,1,0.25353397172822617,0.6136865342163356,base,0.1,0.003,10.0,0.3,10.3
financial_phrasebank,diversity_al,100,1,0.25353397172822617,0.6136865342163356,high,0.3,0.003,30.0,0.3,30.3
financial_phrasebank,diversity_al,250,1,0.25353397172822617,0.6136865342163356,low,0.03,0.003,7.5,0.75,8.25
financial_phrasebank,diversity_al,250,1,0.25353397172822617,0.6136865342163356,base,0.1,0.003,25.0,0.75,25.75
financial_phrasebank,diversity_al,250,1,0.25353397172822617,0.6136865342163356,high,0.3,0.003,75.0,0.75,75.75
financial_phrasebank,diversity_al,500,1,0.27167277167277165,0.6203090507726269,low,0.03,0.003,15.0,1.5,16.5
financial_phrasebank,diversity_al,500,1,0.27167277167277165,0.6203090507726269,base,0.1,0.003,50.0,1.5,51.5
financial_phrasebank,diversity_al,500,1,0.27167277167277165,0.6203090507726269,high,0.3,0.003,150.0,1.5,151.5
financial_phrasebank,diversity_al,1000,1,0.5221769533055941,0.7549668874172185,low,0.03,0.003,30.0,3.0,33.0
financial_phrasebank,diversity_al,1000,1,0.5221769533055941,0.7549668874172185,base,0.1,0.003,100.0,3.0,103.0
