dataset,budget,seed,strategy,macro_f1,best_gold_macro_f1,macro_f1_gap_vs_best_gold,best_gold_strategy,accuracy,best_gold_accuracy,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,prompt_version
ag_news,50,0,llm_annotator,0.1362556744156949,0.4054847153331679,-0.269229040917473,uncertainty_al,0.265,0.47,0.76,0.7806372549019608,0.094,0.7072573529411765,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,100,0,llm_annotator,0.1306471969338418,0.3747647930048042,-0.2441175960709624,hybrid_al,0.262,0.453,0.76,0.7703000580076993,0.09,0.7009730527870063,gpt-4o-mini,text_classification_v1_zero_shot_json
ag_news,250,0,llm_annotator,0.2620280734933615,0.547454718523669,-0.2854266450303075,random,0.341,0.567,0.776,0.7796495728229657,0.0754,0.7208639950321141,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,50,0,llm_annotator,0.0003336584364252,0.0378022987047835,-0.0374686402683583,random,0.013,0.056,0.58,0.2922077922077922,0.267,0.2141883116883116,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,100,0,llm_annotator,0.0163964144740796,0.0745179324592405,-0.0581215179851609,hybrid_al,0.03,0.109,0.58,0.3990723562152134,0.2565,0.2967102968460112,gpt-4o-mini,text_classification_v1_zero_shot_json
banking77,250,0,llm_annotator,0.0840752238707725,0.1243507796299894,-0.0402755557592169,random,0.11,0.164,0.644,0.6069120634055699,0.1795999999999999,0.4979106568179295,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,50,0,llm_annotator,0.0743330743330743,0.1686693760945552,-0.0943363017614809,hybrid_al,0.287,0.352,0.46,0.3462909639380228,0.328,0.2327075277663512,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,100,0,llm_annotator,0.0753168020275329,0.1517318165172295,-0.0764150144896966,uncertainty_al,0.288,0.375,0.51,0.46766490599258,0.2730000000000001,0.3399923866566056,gpt-4o-mini,text_classification_v1_zero_shot_json
emotion,250,0,llm_annotator,0.0893907855702883,0.1538517441789817,-0.0644609586086934,hybrid_al,0.297,0.4,0.552,0.5348170180717351,0.2285999999999999,0.4125578477405365,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,50,0,llm_annotator,0.2545787545787545,0.4428243131791139,-0.1882455586003594,hybrid_al,0.6136865342163356,0.6534216335540839,0.96,0.9531590413943356,0.134,0.8254357298474945,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,100,0,llm_annotator,0.4485221723755181,0.6118919206634116,-0.16336974828789347,uncertainty_al,0.7086092715231788,0.6777041942604857,0.95,0.949433146674526,0.1274999999999999,0.8283804204735239,gpt-4o-mini,text_classification_v1_zero_shot_json
financial_phrasebank,250,0,llm_annotator,0.6256766951463089,0.6422658457205177,-0.016589150574208844,hybrid_al,0.7549668874172185,0.7858719646799117,0.932,0.9248891765721234,0.1082,0.8248161676670196,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,50,0,llm_annotator,0.5261664236880417,0.3373094764744864,0.18885694721355528,random,0.531,0.501,0.92,0.9198717948717948,0.123,0.8067275641025642,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,100,0,llm_annotator,0.3802626457151052,0.5008399007905406,-0.12057725507543543,random,0.516,0.551,0.89,0.8894583458948849,0.1009999999999999,0.7996230529595015,gpt-4o-mini,text_classification_v1_zero_shot_json
rotten_tomatoes,250,0,llm_annotator,0.3568338373655914,0.5713073005093379,-0.2144734631437465,uncertainty_al,0.51,0.596,0.9,0.898000815993472,0.0971999999999999,0.8107151366789066,gpt-4o-mini,text_classification_v1_zero_shot_json
