dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,n_seeds
ag_news,sentence_transformer_logreg,diversity_al,50,0.4791,0.1387,5
ag_news,sentence_transformer_logreg,diversity_al,100,0.7494,0.0411,5
ag_news,sentence_transformer_logreg,diversity_al,250,0.8217,0.0078,5
ag_news,sentence_transformer_logreg,diversity_al,500,0.8389,0.0027,5
ag_news,sentence_transformer_logreg,diversity_al,1000,0.8517,0.0013,5
ag_news,sentence_transformer_logreg,hybrid_al,50,0.5453,0.1357,5
ag_news,sentence_transformer_logreg,hybrid_al,100,0.7875,0.0214,5
ag_news,sentence_transformer_logreg,hybrid_al,250,0.8317,0.0071,5
ag_news,sentence_transformer_logreg,hybrid_al,500,0.8431,0.0059,5
ag_news,sentence_transformer_logreg,hybrid_al,1000,0.8531,0.0041,5
ag_news,sentence_transformer_logreg,random,50,0.5709,0.1056,5
ag_news,sentence_transformer_logreg,random,100,0.7649,0.0396,5
ag_news,sentence_transformer_logreg,random,250,0.8363,0.0076,5
ag_news,sentence_transformer_logreg,random,500,0.8438,0.0071,5
ag_news,sentence_transformer_logreg,random,1000,0.854,0.0032,5
ag_news,sentence_transformer_logreg,uncertainty_al,50,0.4922,0.1962,5
ag_news,sentence_transformer_logreg,uncertainty_al,100,0.5348,0.1955,5
ag_news,sentence_transformer_logreg,uncertainty_al,250,0.7961,0.0346,5
ag_news,sentence_transformer_logreg,uncertainty_al,500,0.8325,0.005,5
ag_news,sentence_transformer_logreg,uncertainty_al,1000,0.8499,0.0063,5
ag_news,tfidf_logreg,diversity_al,50,0.129,0.0705,5
ag_news,tfidf_logreg,diversity_al,100,0.1603,0.0795,5
ag_news,tfidf_logreg,diversity_al,250,0.218,0.0214,5
ag_news,tfidf_logreg,diversity_al,500,0.5349,0.0271,5
ag_news,tfidf_logreg,diversity_al,1000,0.7831,0.0037,5
ag_news,tfidf_logreg,hybrid_al,50,0.148,0.0669,5
ag_news,tfidf_logreg,hybrid_al,100,0.309,0.1202,5
