dataset_name,split,comparison,metric,delta,p_value,p_value_bonferroni,significant,notes
trec,test,gpt-4o-mini_temp0.7_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.020000000000000018,0.2817182817182817,1.0,False,
trec,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.7732267732267732,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.8571428571428571,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.7452547452547452,1.0,False,
trec,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7512487512487512,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.020000000000000018,0.2757242757242757,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7252747252747253,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7092907092907093,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.010000000000000009,0.8051948051948052,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0_rep0,accuracy,-0.010000000000000009,0.7652347652347652,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep0,accuracy,-0.010000000000000009,0.6773226773226774,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep1,accuracy,0.0,1.0,1.0,False,
