dataset,strategy,budget,seed,downstream_model,embedding_model,macro_f1,accuracy,cost_scenario,cost_source,cost_source_url,cost_checked_at,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,temperature,prompt_version,replicate_id
trec,llm_annotator,50,1,tfidf_logreg,,0.18519891023133564,0.382,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.7,0.6587391946025721,0.16199999999999998,0.5520234450769554,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,50,1,tfidf_logreg,,0.18519891023133564,0.382,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.7,0.6587391946025721,0.16199999999999998,0.5520234450769554,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,50,1,tfidf_logreg,,0.18519891023133564,0.382,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.7,0.6587391946025721,0.16199999999999998,0.5520234450769554,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,1,tfidf_logreg,,0.19545177045177045,0.396,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.64,0.5928231533821596,0.2035000000000001,0.4721836416688901,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,1,tfidf_logreg,,0.19545177045177045,0.396,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.64,0.5928231533821596,0.2035000000000001,0.4721836416688901,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,1,tfidf_logreg,,0.19545177045177045,0.396,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.64,0.5928231533821596,0.2035000000000001,0.4721836416688901,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,1,tfidf_logreg,,0.3831617429764307,0.528,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.7,0.6830829282629485,0.15420000000000003,0.5777515407248018,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,1,tfidf_logreg,,0.3831617429764307,0.528,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.7,0.6830829282629485,0.15420000000000003,0.5777515407248018,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,1,tfidf_logreg,,0.3831617429764307,0.528,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.7,0.6830829282629485,0.15420000000000003,0.5777515407248018,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,50,2,tfidf_logreg,,0.19082668557769322,0.382,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.62,0.5002471882338401,0.24199999999999988,0.37918736868125086,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,50,2,tfidf_logreg,,0.19082668557769322,0.382,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.62,0.5002471882338401,0.24199999999999988,0.37918736868125086,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,50,2,tfidf_logreg,,0.19082668557769322,0.382,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.62,0.5002471882338401,0.24199999999999988,0.37918736868125086,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,2,tfidf_logreg,,0.22350470384612423,0.402,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.68,0.7210211702058574,0.19699999999999995,0.5789799996753036,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,2,tfidf_logreg,,0.22350470384612423,0.402,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.68,0.7210211702058574,0.19699999999999995,0.5789799996753036,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,100,2,tfidf_logreg,,0.22350470384612423,0.402,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.68,0.7210211702058574,0.19699999999999995,0.5789799996753036,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,2,tfidf_logreg,,0.28847752407216587,0.456,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.72,0.7501102836164272,0.1286,0.6536461011433546,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,2,tfidf_logreg,,0.28847752407216587,0.456,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.72,0.7501102836164272,0.1286,0.6536461011433546,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
trec,llm_annotator,250,2,tfidf_logreg,,0.28847752407216587,0.456,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.72,0.7501102836164272,0.1286,0.6536461011433546,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
