dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
banking77,random,50,0,0.01980360830079893,0.046753246753246755,low,0.03,0.0,1.5,0.0,1.5
banking77,random,50,0,0.01980360830079893,0.046753246753246755,base,0.1,0.0,5.0,0.0,5.0
banking77,random,50,0,0.01980360830079893,0.046753246753246755,high,0.3,0.0,15.0,0.0,15.0
banking77,random,100,0,0.04090669374230009,0.0685064935064935,low,0.03,0.0,3.0,0.0,3.0
banking77,random,100,0,0.04090669374230009,0.0685064935064935,base,0.1,0.0,10.0,0.0,10.0
banking77,random,100,0,0.04090669374230009,0.0685064935064935,high,0.3,0.0,30.0,0.0,30.0
banking77,random,250,0,0.13256788967064273,0.16103896103896104,low,0.03,0.0,7.5,0.0,7.5
banking77,random,250,0,0.13256788967064273,0.16103896103896104,base,0.1,0.0,25.0,0.0,25.0
banking77,random,250,0,0.13256788967064273,0.16103896103896104,high,0.3,0.0,75.0,0.0,75.0
banking77,random,500,0,0.2524575186236765,0.2905844155844156,low,0.03,0.0,15.0,0.0,15.0
banking77,random,500,0,0.2524575186236765,0.2905844155844156,base,0.1,0.0,50.0,0.0,50.0
banking77,random,500,0,0.2524575186236765,0.2905844155844156,high,0.3,0.0,150.0,0.0,150.0
banking77,random,1000,0,0.4481630155693042,0.4737012987012987,low,0.03,0.0,30.0,0.0,30.0
banking77,random,1000,0,0.4481630155693042,0.4737012987012987,base,0.1,0.0,100.0,0.0,100.0
banking77,random,1000,0,0.4481630155693042,0.4737012987012987,high,0.3,0.0,300.0,0.0,300.0
banking77,uncertainty_al,50,0,0.015370541311795445,0.025974025974025976,low,0.03,0.002,1.5,0.1,1.6
banking77,uncertainty_al,50,0,0.015370541311795445,0.025974025974025976,base,0.1,0.002,5.0,0.1,5.1
banking77,uncertainty_al,50,0,0.015370541311795445,0.025974025974025976,high,0.3,0.002,15.0,0.1,15.1
banking77,uncertainty_al,100,0,0.03356288146814681,0.057467532467532466,low,0.03,0.002,3.0,0.2,3.2
banking77,uncertainty_al,100,0,0.03356288146814681,0.057467532467532466,base,0.1,0.002,10.0,0.2,10.2
banking77,uncertainty_al,100,0,0.03356288146814681,0.057467532467532466,high,0.3,0.002,30.0,0.2,30.2
banking77,uncertainty_al,250,0,0.04651955610862842,0.07402597402597402,low,0.03,0.002,7.5,0.5,8.0
banking77,uncertainty_al,250,0,0.04651955610862842,0.07402597402597402,base,0.1,0.002,25.0,0.5,25.5
banking77,uncertainty_al,250,0,0.04651955610862842,0.07402597402597402,high,0.3,0.002,75.0,0.5,75.5
banking77,uncertainty_al,500,0,0.03187767320093527,0.09805194805194806,low,0.03,0.002,15.0,1.0,16.0
banking77,uncertainty_al,500,0,0.03187767320093527,0.09805194805194806,base,0.1,0.002,50.0,1.0,51.0
banking77,uncertainty_al,500,0,0.03187767320093527,0.09805194805194806,high,0.3,0.002,150.0,1.0,151.0
