dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,mean_accuracy,mean_total_cost,n_seeds,cost_scenario,baseline_best_macro_f1,delta_macro_f1_vs_baseline
ag_news,sentence_transformer_logreg,hybrid_al,1000,0.8544,0.0048,0.8543,99.2,3,base,0.7901,0.0643
ag_news,tfidf_logreg,hybrid_al,1000,0.7901,0.0117,0.7897,99.2,3,base,0.7901,0.0
banking77,sentence_transformer_logreg,random,1000,0.7388,0.0015,0.7627,95.2,3,base,0.5452,0.1936
banking77,tfidf_logreg,random,1000,0.5452,0.0044,0.5697,95.2,3,base,0.5452,0.0
emotion,sentence_transformer_logreg,hybrid_al,1000,0.4674,0.0011,0.636,99.2,3,base,0.233,0.2344
emotion,tfidf_logreg,hybrid_al,1000,0.233,0.0069,0.503,99.2,3,base,0.233,0.0
financial_phrasebank,sentence_transformer_logreg,diversity_al,1000,0.8478,0.0096,0.8904,98.2,3,base,0.7567,0.0911
financial_phrasebank,tfidf_logreg,uncertainty_al,500,0.7567,0.0158,0.8337,48.6,3,base,0.7567,0.0
rotten_tomatoes,sentence_transformer_logreg,diversity_al,1000,0.7399,0.0044,0.74,98.2,3,base,0.6834,0.0565
rotten_tomatoes,tfidf_logreg,hybrid_al,1000,0.6834,0.0125,0.687,99.2,3,base,0.6834,0.0
sst2,sentence_transformer_logreg,hybrid_al,1000,0.8008,0.0053,0.801,99.2,3,base,0.7056,0.0952
sst2,tfidf_logreg,uncertainty_al,1000,0.7056,0.0108,0.709,97.2,3,base,0.7056,0.0
trec,sentence_transformer_logreg,hybrid_al,1000,0.7233,0.0074,0.834,99.2,3,base,0.7857,-0.0623
trec,tfidf_logreg,hybrid_al,1000,0.7857,0.0016,0.7947,99.2,3,base,0.7857,0.0
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,1000,0.5813,0.0066,0.5793,99.2,3,base,0.3627,0.2185
tweet_eval_sentiment,tfidf_logreg,hybrid_al,1000,0.3627,0.0065,0.4797,99.2,3,base,0.3627,0.0
twenty_newsgroups,sentence_transformer_logreg,random,1000,0.6354,0.0108,0.6584,95.2,3,base,0.3466,0.2888
twenty_newsgroups,tfidf_logreg,random,1000,0.3466,0.0456,0.3929,95.2,3,base,0.3466,0.0
yelp_polarity,sentence_transformer_logreg,random,1000,0.8542,0.0062,0.855,95.2,3,base,0.8598,-0.0055
yelp_polarity,tfidf_logreg,hybrid_al,1000,0.8598,0.0204,0.86,99.2,3,base,0.8598,0.0
