dataset_name,split,comparison,metric,delta,p_value,p_value_bonferroni,significant,notes
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
financial_phrasebank,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep1,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0.7_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.020000000000000018,0.25374625374625376,1.0,False,
trec,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.8171828171828172,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.7932067932067932,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,-0.010000000000000009,0.7512487512487512,1.0,False,
trec,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7792207792207793,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.020000000000000018,0.2597402597402597,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7192807192807192,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.6673326673326674,1.0,False,
trec,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.010000000000000009,0.7652347652347652,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep2,accuracy,0.0,1.0,1.0,False,
trec,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0_rep0,accuracy,-0.010000000000000009,0.7712287712287712,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep0,accuracy,-0.010000000000000009,0.7732267732267732,1.0,False,
trec,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep1,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0.7_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.010000000000000009,0.7872127872127872,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0.7_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.010000000000000009,0.7832167832167832,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep1,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep0 minus gpt-4o-mini_temp0.7_rep2,accuracy,-0.010000000000000009,0.7072927072927073,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0.7_rep2,accuracy,-0.010000000000000009,0.7552447552447552,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0.7_rep2,accuracy,-0.010000000000000009,0.7372627372627373,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep1 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep0,accuracy,0.0,1.0,1.0,False,
tweet_eval_sentiment,test,gpt-4o-mini_temp0_rep2 minus gpt-4o-mini_temp0_rep1,accuracy,0.0,1.0,1.0,False,
