dataset,strategy,budget,seed,macro_f1,accuracy,cost_scenario,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost
trec,random,50,0,0.270562454396573,0.362,low,0.03,0.0,1.5,0.0,1.5
trec,random,50,0,0.270562454396573,0.362,base,0.1,0.0,5.0,0.0,5.0
trec,random,50,0,0.270562454396573,0.362,high,0.3,0.0,15.0,0.0,15.0
trec,random,100,0,0.3179074417847762,0.468,low,0.03,0.0,3.0,0.0,3.0
trec,random,100,0,0.3179074417847762,0.468,base,0.1,0.0,10.0,0.0,10.0
trec,random,100,0,0.3179074417847762,0.468,high,0.3,0.0,30.0,0.0,30.0
trec,random,250,0,0.5514406932915341,0.646,low,0.03,0.0,7.5,0.0,7.5
trec,random,250,0,0.5514406932915341,0.646,base,0.1,0.0,25.0,0.0,25.0
trec,random,250,0,0.5514406932915341,0.646,high,0.3,0.0,75.0,0.0,75.0
trec,random,500,0,0.6489930744142967,0.646,low,0.03,0.0,15.0,0.0,15.0
trec,random,500,0,0.6489930744142967,0.646,base,0.1,0.0,50.0,0.0,50.0
trec,random,500,0,0.6489930744142967,0.646,high,0.3,0.0,150.0,0.0,150.0
trec,random,1000,0,0.7097955144399957,0.708,low,0.03,0.0,30.0,0.0,30.0
trec,random,1000,0,0.7097955144399957,0.708,base,0.1,0.0,100.0,0.0,100.0
trec,random,1000,0,0.7097955144399957,0.708,high,0.3,0.0,300.0,0.0,300.0
trec,uncertainty_al,50,0,0.23381614043315965,0.376,low,0.03,0.002,1.5,0.1,1.6
trec,uncertainty_al,50,0,0.23381614043315965,0.376,base,0.1,0.002,5.0,0.1,5.1
trec,uncertainty_al,50,0,0.23381614043315965,0.376,high,0.3,0.002,15.0,0.1,15.1
trec,uncertainty_al,100,0,0.1284171860286242,0.258,low,0.03,0.002,3.0,0.2,3.2
trec,uncertainty_al,100,0,0.1284171860286242,0.258,base,0.1,0.002,10.0,0.2,10.2
trec,uncertainty_al,100,0,0.1284171860286242,0.258,high,0.3,0.002,30.0,0.2,30.2
trec,uncertainty_al,250,0,0.12821464428821205,0.308,low,0.03,0.002,7.5,0.5,8.0
trec,uncertainty_al,250,0,0.12821464428821205,0.308,base,0.1,0.002,25.0,0.5,25.5
trec,uncertainty_al,250,0,0.12821464428821205,0.308,high,0.3,0.002,75.0,0.5,75.5
trec,uncertainty_al,500,0,0.5188522403434316,0.438,low,0.03,0.002,15.0,1.0,16.0
trec,uncertainty_al,500,0,0.5188522403434316,0.438,base,0.1,0.002,50.0,1.0,51.0
trec,uncertainty_al,500,0,0.5188522403434316,0.438,high,0.3,0.002,150.0,1.0,151.0
trec,uncertainty_al,1000,0,0.7272821044058673,0.69,low,0.03,0.002,30.0,2.0,32.0
trec,uncertainty_al,1000,0,0.7272821044058673,0.69,base,0.1,0.002,100.0,2.0,102.0
trec,uncertainty_al,1000,0,0.7272821044058673,0.69,high,0.3,0.002,300.0,2.0,302.0
trec,diversity_al,50,0,0.11324963035360751,0.22,low,0.03,0.003,1.5,0.15,1.65
trec,diversity_al,50,0,0.11324963035360751,0.22,base,0.1,0.003,5.0,0.15,5.15
trec,diversity_al,50,0,0.11324963035360751,0.22,high,0.3,0.003,15.0,0.15,15.15
trec,diversity_al,100,0,0.12289819051384887,0.238,low,0.03,0.003,3.0,0.3,3.3
trec,diversity_al,100,0,0.12289819051384887,0.238,base,0.1,0.003,10.0,0.3,10.3
