dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,mean_accuracy,mean_total_cost,n_seeds,cost_scenario
ag_news,sentence_transformer_logreg,hybrid_al,1000,0.8544,0.0048,0.8543,99.2,3,base
ag_news,sentence_transformer_logreg,random,1000,0.8529,0.003,0.8527,95.2,3,base
ag_news,sentence_transformer_logreg,diversity_al,1000,0.8511,0.0001,0.851,98.2,3,base
ag_news,sentence_transformer_logreg,uncertainty_al,1000,0.8492,0.0078,0.8493,97.2,3,base
ag_news,sentence_transformer_logreg,random,500,0.8439,0.005,0.8437,47.6,3,base
ag_news,sentence_transformer_logreg,hybrid_al,500,0.8403,0.0063,0.8407,49.6,3,base
ag_news,sentence_transformer_logreg,diversity_al,500,0.8394,0.0032,0.8397,49.1,3,base
ag_news,sentence_transformer_logreg,random,250,0.8332,0.0063,0.8323,23.8,3,base
ag_news,sentence_transformer_logreg,hybrid_al,250,0.8328,0.0098,0.8333,24.8,3,base
ag_news,sentence_transformer_logreg,uncertainty_al,500,0.8319,0.0066,0.833,48.6,3,base
ag_news,sentence_transformer_logreg,diversity_al,250,0.8212,0.0103,0.8203,24.55,3,base
ag_news,sentence_transformer_logreg,hybrid_al,100,0.797,0.0225,0.8007,9.92,3,base
ag_news,sentence_transformer_logreg,random,100,0.7867,0.0081,0.7847,9.52,3,base
ag_news,sentence_transformer_logreg,uncertainty_al,250,0.7789,0.0355,0.7887,24.3,3,base
ag_news,sentence_transformer_logreg,diversity_al,100,0.7272,0.0314,0.7253,9.82,3,base
ag_news,sentence_transformer_logreg,hybrid_al,50,0.5905,0.1611,0.619,4.96,3,base
ag_news,sentence_transformer_logreg,uncertainty_al,50,0.5869,0.2013,0.62,4.86,3,base
ag_news,sentence_transformer_logreg,random,50,0.4968,0.0394,0.559,4.76,3,base
ag_news,sentence_transformer_logreg,uncertainty_al,100,0.4884,0.2235,0.571,9.72,3,base
ag_news,sentence_transformer_logreg,diversity_al,50,0.478,0.0444,0.5177,4.91,3,base
ag_news,tfidf_logreg,hybrid_al,1000,0.7901,0.0117,0.7897,99.2,3,base
ag_news,tfidf_logreg,diversity_al,1000,0.7849,0.0037,0.782,98.2,3,base
ag_news,tfidf_logreg,uncertainty_al,1000,0.7807,0.0335,0.784,97.2,3,base
ag_news,tfidf_logreg,random,1000,0.7776,0.0064,0.773,95.2,3,base
ag_news,tfidf_logreg,random,500,0.7066,0.0374,0.702,47.6,3,base
ag_news,tfidf_logreg,random,250,0.6393,0.08,0.643,23.8,3,base
ag_news,tfidf_logreg,hybrid_al,500,0.6336,0.036,0.6417,49.6,3,base
ag_news,tfidf_logreg,diversity_al,500,0.5225,0.026,0.5397,49.1,3,base
ag_news,tfidf_logreg,uncertainty_al,500,0.4956,0.1233,0.5533,48.6,3,base
ag_news,tfidf_logreg,hybrid_al,250,0.4743,0.2771,0.5313,24.8,3,base
ag_news,tfidf_logreg,hybrid_al,100,0.3577,0.034,0.4347,9.92,3,base
ag_news,tfidf_logreg,random,100,0.3569,0.0293,0.417,9.52,3,base
ag_news,tfidf_logreg,uncertainty_al,250,0.3212,0.0831,0.4203,24.3,3,base
ag_news,tfidf_logreg,uncertainty_al,50,0.2271,0.1579,0.3407,4.86,3,base
ag_news,tfidf_logreg,diversity_al,250,0.2176,0.0167,0.3067,24.55,3,base
ag_news,tfidf_logreg,random,50,0.2125,0.1367,0.3163,4.76,3,base
ag_news,tfidf_logreg,hybrid_al,50,0.1809,0.07,0.3007,4.96,3,base
ag_news,tfidf_logreg,uncertainty_al,100,0.1572,0.0958,0.2987,9.72,3,base
ag_news,tfidf_logreg,diversity_al,100,0.1053,0.0101,0.246,9.82,3,base
ag_news,tfidf_logreg,diversity_al,50,0.0974,0.0,0.242,4.91,3,base
banking77,sentence_transformer_logreg,random,1000,0.7388,0.0015,0.7627,95.2,3,base
banking77,sentence_transformer_logreg,diversity_al,1000,0.7341,0.0047,0.7587,98.2,3,base
banking77,sentence_transformer_logreg,hybrid_al,1000,0.7297,0.0097,0.7523,99.2,3,base
banking77,sentence_transformer_logreg,uncertainty_al,1000,0.6941,0.0059,0.727,97.2,3,base
banking77,sentence_transformer_logreg,random,500,0.4852,0.0351,0.553,47.6,3,base
banking77,sentence_transformer_logreg,hybrid_al,500,0.4428,0.015,0.5137,49.6,3,base
banking77,sentence_transformer_logreg,diversity_al,500,0.4365,0.0236,0.5027,49.1,3,base
banking77,sentence_transformer_logreg,uncertainty_al,500,0.362,0.0304,0.4443,48.6,3,base
banking77,sentence_transformer_logreg,diversity_al,250,0.241,0.0279,0.316,24.55,3,base
banking77,sentence_transformer_logreg,hybrid_al,250,0.2356,0.0462,0.311,24.8,3,base
banking77,sentence_transformer_logreg,random,250,0.2347,0.0399,0.312,23.8,3,base
banking77,sentence_transformer_logreg,uncertainty_al,250,0.2006,0.0238,0.2857,24.3,3,base
banking77,sentence_transformer_logreg,hybrid_al,100,0.125,0.0163,0.1843,9.92,3,base
banking77,sentence_transformer_logreg,diversity_al,100,0.1206,0.0146,0.1923,9.82,3,base
banking77,sentence_transformer_logreg,random,100,0.0955,0.0325,0.1583,9.52,3,base
banking77,sentence_transformer_logreg,uncertainty_al,100,0.0821,0.0085,0.16,9.72,3,base
banking77,sentence_transformer_logreg,hybrid_al,50,0.0568,0.0054,0.098,4.96,3,base
banking77,sentence_transformer_logreg,diversity_al,50,0.0487,0.0003,0.135,4.91,3,base
banking77,sentence_transformer_logreg,random,50,0.0354,0.0028,0.103,4.76,3,base
banking77,sentence_transformer_logreg,uncertainty_al,50,0.0302,0.0118,0.0777,4.86,3,base
banking77,tfidf_logreg,random,1000,0.5452,0.0044,0.5697,95.2,3,base
banking77,tfidf_logreg,hybrid_al,1000,0.5216,0.008,0.553,99.2,3,base
banking77,tfidf_logreg,diversity_al,1000,0.5155,0.006,0.5373,98.2,3,base
banking77,tfidf_logreg,uncertainty_al,1000,0.4945,0.0136,0.528,97.2,3,base
banking77,tfidf_logreg,random,500,0.2982,0.0232,0.3287,47.6,3,base
banking77,tfidf_logreg,hybrid_al,500,0.2207,0.0145,0.2653,49.6,3,base
banking77,tfidf_logreg,diversity_al,500,0.2107,0.0076,0.2287,49.1,3,base
banking77,tfidf_logreg,uncertainty_al,500,0.1972,0.0042,0.2613,48.6,3,base
banking77,tfidf_logreg,random,250,0.1382,0.0148,0.1623,23.8,3,base
banking77,tfidf_logreg,uncertainty_al,250,0.1052,0.0201,0.1523,24.3,3,base
banking77,tfidf_logreg,diversity_al,250,0.0884,0.0177,0.1223,24.55,3,base
banking77,tfidf_logreg,hybrid_al,250,0.0634,0.0156,0.089,24.8,3,base
banking77,tfidf_logreg,diversity_al,100,0.0597,0.0092,0.0763,9.82,3,base
banking77,tfidf_logreg,uncertainty_al,100,0.0507,0.0104,0.091,9.72,3,base
banking77,tfidf_logreg,random,100,0.0494,0.0164,0.0733,9.52,3,base
banking77,tfidf_logreg,hybrid_al,100,0.0458,0.0255,0.073,9.92,3,base
banking77,tfidf_logreg,diversity_al,50,0.0362,0.0076,0.081,4.91,3,base
banking77,tfidf_logreg,random,50,0.0264,0.0099,0.067,4.76,3,base
banking77,tfidf_logreg,uncertainty_al,50,0.0212,0.0062,0.0367,4.86,3,base
banking77,tfidf_logreg,hybrid_al,50,0.0176,0.0174,0.0307,4.96,3,base
emotion,sentence_transformer_logreg,hybrid_al,1000,0.4674,0.0011,0.636,99.2,3,base
emotion,sentence_transformer_logreg,uncertainty_al,1000,0.4565,0.004,0.6317,97.2,3,base
emotion,sentence_transformer_logreg,random,1000,0.4556,0.0041,0.6417,95.2,3,base
emotion,sentence_transformer_logreg,diversity_al,1000,0.4434,0.0025,0.6283,98.2,3,base
emotion,sentence_transformer_logreg,hybrid_al,500,0.442,0.0103,0.617,49.6,3,base
emotion,sentence_transformer_logreg,uncertainty_al,500,0.405,0.0122,0.6103,48.6,3,base
emotion,sentence_transformer_logreg,diversity_al,500,0.4049,0.0106,0.6007,49.1,3,base
emotion,sentence_transformer_logreg,random,500,0.3995,0.0225,0.604,47.6,3,base
emotion,sentence_transformer_logreg,hybrid_al,250,0.3819,0.0107,0.5843,24.8,3,base
emotion,sentence_transformer_logreg,uncertainty_al,250,0.3496,0.0216,0.5653,24.3,3,base
emotion,sentence_transformer_logreg,diversity_al,250,0.3329,0.0075,0.553,24.55,3,base
emotion,sentence_transformer_logreg,random,250,0.3241,0.0203,0.5617,23.8,3,base
emotion,sentence_transformer_logreg,hybrid_al,100,0.2942,0.0205,0.529,9.92,3,base
emotion,sentence_transformer_logreg,uncertainty_al,100,0.2822,0.0422,0.5263,9.72,3,base
emotion,sentence_transformer_logreg,diversity_al,100,0.2498,0.0413,0.5137,9.82,3,base
emotion,sentence_transformer_logreg,hybrid_al,50,0.2405,0.0417,0.4813,4.96,3,base
emotion,sentence_transformer_logreg,diversity_al,50,0.2265,0.0083,0.4913,4.91,3,base
emotion,sentence_transformer_logreg,random,100,0.2204,0.0128,0.4987,9.52,3,base
emotion,sentence_transformer_logreg,uncertainty_al,50,0.1773,0.0235,0.4253,4.86,3,base
emotion,sentence_transformer_logreg,random,50,0.1518,0.0477,0.4203,4.76,3,base
emotion,tfidf_logreg,hybrid_al,1000,0.233,0.0069,0.503,99.2,3,base
emotion,tfidf_logreg,uncertainty_al,1000,0.2112,0.0096,0.487,97.2,3,base
emotion,tfidf_logreg,random,1000,0.2097,0.0052,0.4853,95.2,3,base
emotion,tfidf_logreg,diversity_al,1000,0.1978,0.0012,0.4763,98.2,3,base
emotion,tfidf_logreg,hybrid_al,500,0.1976,0.0061,0.4453,49.6,3,base
emotion,tfidf_logreg,uncertainty_al,500,0.1842,0.0157,0.4443,48.6,3,base
emotion,tfidf_logreg,random,500,0.1808,0.011,0.4453,47.6,3,base
emotion,tfidf_logreg,uncertainty_al,250,0.1479,0.0147,0.3987,24.3,3,base
emotion,tfidf_logreg,random,250,0.147,0.024,0.4037,23.8,3,base
emotion,tfidf_logreg,uncertainty_al,100,0.1461,0.0087,0.3743,9.72,3,base
emotion,tfidf_logreg,diversity_al,100,0.1379,0.0077,0.3833,9.82,3,base
emotion,tfidf_logreg,diversity_al,250,0.136,0.017,0.39,24.55,3,base
emotion,tfidf_logreg,hybrid_al,250,0.1325,0.0192,0.3857,24.8,3,base
emotion,tfidf_logreg,hybrid_al,50,0.1317,0.0407,0.3507,4.96,3,base
emotion,tfidf_logreg,random,100,0.1309,0.0257,0.3757,9.52,3,base
emotion,tfidf_logreg,hybrid_al,100,0.1301,0.0155,0.3773,9.92,3,base
emotion,tfidf_logreg,diversity_al,50,0.1267,0.02,0.365,4.91,3,base
emotion,tfidf_logreg,diversity_al,500,0.1242,0.0084,0.3877,49.1,3,base
emotion,tfidf_logreg,uncertainty_al,50,0.0993,0.0301,0.3313,4.86,3,base
emotion,tfidf_logreg,random,50,0.099,0.0098,0.364,4.76,3,base
financial_phrasebank,sentence_transformer_logreg,diversity_al,1000,0.8478,0.0096,0.8904,98.2,3,base
financial_phrasebank,sentence_transformer_logreg,hybrid_al,1000,0.8437,0.0055,0.8859,99.2,3,base
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,1000,0.8405,0.0035,0.8852,97.2,3,base
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,500,0.8384,0.0096,0.8742,48.6,3,base
financial_phrasebank,sentence_transformer_logreg,random,1000,0.8354,0.0058,0.8808,95.2,3,base
financial_phrasebank,sentence_transformer_logreg,hybrid_al,500,0.8054,0.009,0.8389,49.6,3,base
financial_phrasebank,sentence_transformer_logreg,random,500,0.7945,0.0154,0.8528,47.6,3,base
financial_phrasebank,sentence_transformer_logreg,random,250,0.7802,0.0445,0.8425,23.8,3,base
financial_phrasebank,sentence_transformer_logreg,diversity_al,500,0.778,0.0274,0.8433,49.1,3,base
financial_phrasebank,sentence_transformer_logreg,hybrid_al,250,0.7739,0.0308,0.8182,24.8,3,base
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,250,0.757,0.0398,0.7844,24.3,3,base
financial_phrasebank,sentence_transformer_logreg,random,100,0.7015,0.0563,0.8013,9.52,3,base
financial_phrasebank,sentence_transformer_logreg,hybrid_al,100,0.6623,0.1369,0.7734,9.92,3,base
financial_phrasebank,sentence_transformer_logreg,diversity_al,250,0.642,0.0563,0.7859,24.55,3,base
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,100,0.6039,0.1811,0.5909,9.72,3,base
financial_phrasebank,sentence_transformer_logreg,random,50,0.6022,0.0983,0.7277,4.76,3,base
financial_phrasebank,sentence_transformer_logreg,hybrid_al,50,0.5991,0.0939,0.7594,4.96,3,base
financial_phrasebank,sentence_transformer_logreg,uncertainty_al,50,0.3606,0.0945,0.4606,4.86,3,base
