dataset,strategy,budget,seed,downstream_model,embedding_model,macro_f1,accuracy,cost_scenario,cost_source,cost_source_url,cost_checked_at,human_cost_per_label,selection_cost_per_example,annotation_cost,selection_cost,total_cost,llm_label_accuracy,llm_label_macro_f1,llm_ece,llm_lari,model_name,temperature,prompt_version,replicate_id
sst2,llm_annotator,50,1,tfidf_logreg,,0.34366468126311533,0.493,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.92,0.9178981937602627,0.08899999999999997,0.8362052545155993,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,50,1,tfidf_logreg,,0.34366468126311533,0.493,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.92,0.9178981937602627,0.08899999999999997,0.8362052545155993,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,50,1,tfidf_logreg,,0.34366468126311533,0.493,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.92,0.9178981937602627,0.08899999999999997,0.8362052545155993,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,1,tfidf_logreg,,0.4835758682380715,0.552,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.91,0.908452853219408,0.06749999999999998,0.847132285627098,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,1,tfidf_logreg,,0.4835758682380715,0.552,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.91,0.908452853219408,0.06749999999999998,0.847132285627098,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,1,tfidf_logreg,,0.4835758682380715,0.552,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.91,0.908452853219408,0.06749999999999998,0.847132285627098,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,1,tfidf_logreg,,0.6066316548244259,0.618,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.916,0.9159986559784956,0.09379999999999994,0.8300779820477129,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,1,tfidf_logreg,,0.6066316548244259,0.618,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.916,0.9159986559784956,0.09379999999999994,0.8300779820477129,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,1,tfidf_logreg,,0.6066316548244259,0.618,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.916,0.9159986559784956,0.09379999999999994,0.8300779820477129,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,50,2,tfidf_logreg,,0.4829275782495405,0.542,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.92,0.9188311688311688,0.09099999999999997,0.8352175324675325,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,50,2,tfidf_logreg,,0.4829275782495405,0.542,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.92,0.9188311688311688,0.09099999999999997,0.8352175324675325,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,50,2,tfidf_logreg,,0.4829275782495405,0.542,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.92,0.9188311688311688,0.09099999999999997,0.8352175324675325,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,2,tfidf_logreg,,0.5642325531226405,0.596,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.91,0.9099189270343309,0.08099999999999993,0.8362154939445501,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,2,tfidf_logreg,,0.5642325531226405,0.596,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.91,0.9099189270343309,0.08099999999999993,0.8362154939445501,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,100,2,tfidf_logreg,,0.5642325531226405,0.596,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.91,0.9099189270343309,0.08099999999999993,0.8362154939445501,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,2,tfidf_logreg,,0.5493629217628196,0.603,low,not estimated,,,0.04,0.0,0.0,0.0,0.0,0.932,0.9318680966350855,0.0968,0.8416632648808092,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,2,tfidf_logreg,,0.5493629217628196,0.603,base,not estimated,,,0.09519999999999999,0.0,0.0,0.0,0.0,0.932,0.9318680966350855,0.0968,0.8416632648808092,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
sst2,llm_annotator,250,2,tfidf_logreg,,0.5493629217628196,0.603,high,not estimated,,,0.42839999999999995,0.0,0.0,0.0,0.0,0.932,0.9318680966350855,0.0968,0.8416632648808092,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0
