dataset,pool_size,label_budget,strategy,seed,selection_seconds,macro_f1,accuracy,machine,python_version
ag_news,1200,100,random,0,0.00011974999506492168,0.33129504150944905,0.41,arm64,3.13.7
ag_news,1200,100,uncertainty_al,0,0.019121416000416502,0.19274317931436719,0.317,arm64,3.13.7
ag_news,1200,100,diversity_al,0,0.07050579100905452,0.4281155260275361,0.48,arm64,3.13.7
ag_news,1200,100,hybrid_al,0,0.058965541000361554,0.520037398348306,0.528,arm64,3.13.7
ag_news,1200,100,random,1,4.0749990148469806e-05,0.3231530065028419,0.443,arm64,3.13.7
ag_news,1200,100,uncertainty_al,1,0.018735292003839277,0.27570107398191307,0.391,arm64,3.13.7
ag_news,1200,100,diversity_al,1,0.07021550000354182,0.4228932593200998,0.48,arm64,3.13.7
ag_news,1200,100,hybrid_al,1,0.05881974998919759,0.16626224156879077,0.279,arm64,3.13.7
ag_news,1200,100,random,2,3.862500307150185e-05,0.3080903604116358,0.369,arm64,3.13.7
ag_news,1200,100,uncertainty_al,2,0.01918541699706111,0.13179479574259345,0.264,arm64,3.13.7
ag_news,1200,100,diversity_al,2,0.07044845799100585,0.36296172217482914,0.459,arm64,3.13.7
ag_news,1200,100,hybrid_al,2,0.06480866699712351,0.13864969923933768,0.266,arm64,3.13.7
ag_news,5000,100,random,0,5.7249999372288585e-05,0.30242548321816615,0.389,arm64,3.13.7
ag_news,5000,100,uncertainty_al,0,0.0735646670073038,0.25367765335081915,0.373,arm64,3.13.7
ag_news,5000,100,diversity_al,0,0.2427874580025673,0.18626981230243855,0.291,arm64,3.13.7
ag_news,5000,100,hybrid_al,0,0.19354654099151958,0.09871589085072231,0.246,arm64,3.13.7
ag_news,5000,100,random,1,4.329100192990154e-05,0.2933941279470724,0.366,arm64,3.13.7
ag_news,5000,100,uncertainty_al,1,0.07208258300670423,0.2418554793080392,0.346,arm64,3.13.7
ag_news,5000,100,diversity_al,1,0.2380377910012612,0.3431955164109422,0.391,arm64,3.13.7
ag_news,5000,100,hybrid_al,1,0.23350075000780635,0.10505529225908374,0.266,arm64,3.13.7
ag_news,5000,100,random,2,5.083299765828997e-05,0.3962992386669809,0.459,arm64,3.13.7
ag_news,5000,100,uncertainty_al,2,0.07464095800241921,0.2449922480620155,0.351,arm64,3.13.7
ag_news,5000,100,diversity_al,2,0.25921212500543334,0.2541405361311631,0.358,arm64,3.13.7
ag_news,5000,100,hybrid_al,2,0.19334874999185558,0.16092303557031634,0.278,arm64,3.13.7
ag_news,10000,100,random,0,5.833400064148009e-05,0.47363873714528465,0.51,arm64,3.13.7
ag_news,10000,100,uncertainty_al,0,0.14489370900264475,0.1786762091038407,0.304,arm64,3.13.7
ag_news,10000,100,diversity_al,0,0.4639366670016898,0.19243770902959254,0.292,arm64,3.13.7
ag_news,10000,100,hybrid_al,0,0.3737474579975242,0.2904860098175448,0.384,arm64,3.13.7
ag_news,10000,100,random,1,5.562500155065209e-05,0.33648891420974314,0.403,arm64,3.13.7
ag_news,10000,100,uncertainty_al,1,0.14336254200316034,0.09742351046698873,0.242,arm64,3.13.7
ag_news,10000,100,diversity_al,1,0.46674366599472705,0.2985236186525754,0.411,arm64,3.13.7
ag_news,10000,100,hybrid_al,1,0.3767654590046732,0.09871589085072231,0.246,arm64,3.13.7
ag_news,10000,100,random,2,4.408400855027139e-05,0.14531889328930953,0.266,arm64,3.13.7
ag_news,10000,100,uncertainty_al,2,0.1450553329923423,0.09871589085072231,0.246,arm64,3.13.7
ag_news,10000,100,diversity_al,2,0.46647058399685193,0.3850477572148834,0.413,arm64,3.13.7
ag_news,10000,100,hybrid_al,2,0.38824612500320654,0.26070380170131935,0.332,arm64,3.13.7
