run_id,dataset_name,split,seed,task_type,example_id,difficulty_bucket,annotator_type,annotator_id,model_name,temperature,prompt_version,replicate_id,gold_label,predicted_label,confidence,correct,input_tokens,output_tokens,total_tokens,cost_usd,failure_category,rationale,notes,raw_response
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_5,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,negative,0.8,False,201,42,243,5.535e-05,,The phrase 'doesn't give a damn' suggests a lack of positive sentiment.,,"{""id"": ""chatcmpl-E4JPxZlquUE3hisV8t366Q3A8VpT0"", ""object"": ""chat.completion"", ""created"": 1784696661, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""negative\"",\n  \""confidence\"": 0.8,\n  \""rationale\"": \""The phrase 'doesn't give a damn' suggests a lack of positive sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 201, ""completion_tokens"": 42, ""total_tokens"": 243, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_f3274cb9b4""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_32,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.7,True,222,39,261,5.6699999999999996e-05,,The text discusses alternative housing options in a neutral to positive context.,,"{""id"": ""chatcmpl-E4JPz2PuHk8JNQPUZ2wlV7aleDlqE"", ""object"": ""chat.completion"", ""created"": 1784696663, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.7,\n  \""rationale\"": \""The text discusses alternative housing options in a neutral to positive context.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 222, ""completion_tokens"": 39, ""total_tokens"": 261, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_07be26b212""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_39,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.85,True,212,45,257,5.88e-05,,"The text describes a film as 'delicious and delicately funny', indicating a positive sentiment.",,"{""id"": ""chatcmpl-E4JQ2zmyEXbXDXFLWo2ievezKYTBJ"", ""object"": ""chat.completion"", ""created"": 1784696666, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text describes a film as 'delicious and delicately funny', indicating a positive sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 212, ""completion_tokens"": 45, ""total_tokens"": 257, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_2e211216bb""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_83,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.9,True,216,42,258,5.7600000000000004e-05,,"The text expresses a favorable opinion about the film, highlighting its creativity and coherence.",,"{""id"": ""chatcmpl-E4JQ3J56T7UToojes1mOVuy5F5n4S"", ""object"": ""chat.completion"", ""created"": 1784696667, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text expresses a favorable opinion about the film, highlighting its creativity and coherence.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 216, ""completion_tokens"": 42, ""total_tokens"": 258, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a23f63aa66""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_93,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.9,True,234,38,272,5.79e-05,,"The text highlights talent and kindness, suggesting a positive sentiment.",,"{""id"": ""chatcmpl-E4JQ6PSm2kXDCWXeoC34ojAK8140w"", ""object"": ""chat.completion"", ""created"": 1784696670, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text highlights talent and kindness, suggesting a positive sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 234, ""completion_tokens"": 38, ""total_tokens"": 272, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_469628dc88""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_213,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.85,True,218,44,262,5.909999999999999e-05,,"The text describes the film as a welcome and heartwarming addition, indicating a positive sentiment.",,"{""id"": ""chatcmpl-E4JQ8JXBqeSpp7AFOBxfF0OKCuvFU"", ""object"": ""chat.completion"", ""created"": 1784696672, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text describes the film as a welcome and heartwarming addition, indicating a positive sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 218, ""completion_tokens"": 44, ""total_tokens"": 262, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_07be26b212""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_246,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,negative,negative,0.85,True,222,47,269,6.149999999999999e-05,,"The text expresses a lack of chemistry and describes the script as workmanlike, indicating a negative sentiment.",,"{""id"": ""chatcmpl-E4JQAxaOWDP5Zl2u5aVzjCrymoAPr"", ""object"": ""chat.completion"", ""created"": 1784696674, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""negative\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses a lack of chemistry and describes the script as workmanlike, indicating a negative sentiment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 222, ""completion_tokens"": 47, ""total_tokens"": 269, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_07be26b212""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_317,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,positive,positive,0.8,True,205,41,246,5.5350000000000004e-05,,The text highlights charming moments and suggests a positive overall impression despite some shortcomings.,,"{""id"": ""chatcmpl-E4JQBX4ZZyAzIkF2tkzJPAvL7gIti"", ""object"": ""chat.completion"", ""created"": 1784696675, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""positive\"",\n  \""confidence\"": 0.8,\n  \""rationale\"": \""The text highlights charming moments and suggests a positive overall impression despite some shortcomings.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 205, ""completion_tokens"": 41, ""total_tokens"": 246, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_1aec1bbdb8""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_397,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,negative,negative,0.85,True,200,43,243,5.58e-05,,The phrase 'not necessarily for the better' indicates a negative sentiment towards the film.,,"{""id"": ""chatcmpl-E4JQDYYeuR2J6NXDMelcURvg9XTVG"", ""object"": ""chat.completion"", ""created"": 1784696677, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""negative\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The phrase 'not necessarily for the better' indicates a negative sentiment towards the film.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 200, ""completion_tokens"": 43, ""total_tokens"": 243, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_6e5f5fc6f2""}"
sst2_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,sst2,train,0,classification,sst2_train_448,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,negative,negative,0.85,True,216,53,269,6.42e-05,,"The text expresses a negative opinion about the film, describing it as a 'futile concoction' and implying it was poorly made.",,"{""id"": ""chatcmpl-E4JQFO2DZdD71oVzuFafxml6NZTvf"", ""object"": ""chat.completion"", ""created"": 1784696679, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""negative\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses a negative opinion about the film, describing it as a 'futile concoction' and implying it was poorly made.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 216, ""completion_tokens"": 53, ""total_tokens"": 269, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
