dataset_name,split,metric,group_key,group_value,estimate,ci_lower,ci_upper,n_examples,n_annotators,n_resamples,notes
trec,test,accuracy,overall,all,0.7916666666666666,0.7866666666666666,0.7966666666666666,100,6,1000,
trec,test,macro_f1,overall,all,0.56153032378143,0.5533533384313137,0.5736717089003126,100,6,1000,
trec,test,ece,overall,all,0.08441666666666664,0.06816458333333333,0.09817499999999992,100,6,1000,
trec,test,lari,overall,all,0.5141278056155476,0.503788358538694,0.5233360515833763,100,6,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep1,0.9764326031368205,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0.7_rep2,0.9646730490691348,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep0,0.9764509178254778,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep1,0.9646730490691348,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep0 vs gpt-4o-mini_temp0_rep2,0.9882174123080911,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0.7_rep2,0.9764581248896474,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep0,0.9646892655367232,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep1,0.9764581248896474,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep1 vs gpt-4o-mini_temp0_rep2,0.9882215757176005,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep0,0.988238199974124,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep1,1.0,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0.7_rep2 vs gpt-4o-mini_temp0_rep2,0.9646892655367232,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep1,0.988238199974124,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep0 vs gpt-4o-mini_temp0_rep2,0.9764614497393105,,,100,2,1000,
trec,test,gwet_ac1,annotator_pair,gpt-4o-mini_temp0_rep1 vs gpt-4o-mini_temp0_rep2,0.9646892655367232,,,100,2,1000,
