run_id,dataset_name,split,seed,task_type,example_id,difficulty_bucket,annotator_type,annotator_id,model_name,temperature,prompt_version,replicate_id,gold_label,predicted_label,confidence,correct,input_tokens,output_tokens,total_tokens,cost_usd,failure_category,rationale,notes,raw_response
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_32,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,sadness,sadness,0.85,True,241,43,284,6.195e-05,,"The text expresses feelings of heartbreak and helplessness, which are indicative of sadness.",,"{""id"": ""chatcmpl-E4JMJ0ejjXhL2zrcvuReNaQbEfwLN"", ""object"": ""chat.completion"", ""created"": 1784696435, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses feelings of heartbreak and helplessness, which are indicative of sadness.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 241, ""completion_tokens"": 43, ""total_tokens"": 284, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_33,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,love,sadness,0.85,False,240,43,283,6.18e-05,,"The text expresses a feeling of missing care and concern, which aligns with sadness.",,"{""id"": ""chatcmpl-E4JML6uQri8pGIiwWjNRM1MGJnO15"", ""object"": ""chat.completion"", ""created"": 1784696437, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses a feeling of missing care and concern, which aligns with sadness.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 240, ""completion_tokens"": 43, ""total_tokens"": 283, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_54,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,sadness,sadness,0.9,True,245,43,288,6.255e-05,,"The text expresses feelings of being awful and crying, which are indicative of sadness.",,"{""id"": ""chatcmpl-E4JMNNs9cLAM6716RJjRN5n8nrdeq"", ""object"": ""chat.completion"", ""created"": 1784696439, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text expresses feelings of being awful and crying, which are indicative of sadness.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 245, ""completion_tokens"": 43, ""total_tokens"": 288, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_86,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,love,love,0.9,True,242,42,284,6.149999999999999e-05,,"The text expresses a deep emotional connection and affection towards the parents, indicating love.",,"{""id"": ""chatcmpl-E4JMPgrLB5Z0noGyvgCJMV9gr5ORH"", ""object"": ""chat.completion"", ""created"": 1784696441, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""love\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text expresses a deep emotional connection and affection towards the parents, indicating love.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 242, ""completion_tokens"": 42, ""total_tokens"": 284, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_87,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,fear,fear,0.85,True,258,43,301,6.45e-05,,"The text expresses feelings of anxiety and being overwhelmed, which are closely associated with fear.",,"{""id"": ""chatcmpl-E4JMR1KPMFESB6DTQoV3YsIxiC6U6"", ""object"": ""chat.completion"", ""created"": 1784696443, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""fear\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text expresses feelings of anxiety and being overwhelmed, which are closely associated with fear.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 258, ""completion_tokens"": 43, ""total_tokens"": 301, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_88,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,fear,sadness,0.7,False,228,42,270,5.9399999999999994e-05,,The phrase 'a bit reluctant' suggests a feeling of sadness or hesitation.,,"{""id"": ""chatcmpl-E4JMTJla4loSG4xA0lDDu1mnvAM24"", ""object"": ""chat.completion"", ""created"": 1784696445, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.7,\n  \""rationale\"": \""The phrase 'a bit reluctant' suggests a feeling of sadness or hesitation.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 228, ""completion_tokens"": 42, ""total_tokens"": 270, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_107,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,joy,sadness,0.7,False,239,44,283,6.225e-05,,"The text conveys a sense of trying to cope with feelings, suggesting an underlying sadness.",,"{""id"": ""chatcmpl-E4JMUuRirXknvG8eyxpXE4rPEFFM3"", ""object"": ""chat.completion"", ""created"": 1784696446, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.7,\n  \""rationale\"": \""The text conveys a sense of trying to cope with feelings, suggesting an underlying sadness.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 239, ""completion_tokens"": 44, ""total_tokens"": 283, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_137,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,sadness,sadness,0.7,True,224,40,264,5.7600000000000004e-05,,The expression of feeling ashamed suggests a sense of sadness or disappointment.,,"{""id"": ""chatcmpl-E4JMWquy0rrMnMY6iuvfZgCgSmbNX"", ""object"": ""chat.completion"", ""created"": 1784696448, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.7,\n  \""rationale\"": \""The expression of feeling ashamed suggests a sense of sadness or disappointment.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 224, ""completion_tokens"": 40, ""total_tokens"": 264, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_161,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,sadness,fear,0.8,False,242,50,292,6.63e-05,,"The text expresses a concern about the potential for fear of violence or scolding, indicating an emotional state related to fear.",,"{""id"": ""chatcmpl-E4JMZakNm67rTw4UVTb4NAVs9AUha"", ""object"": ""chat.completion"", ""created"": 1784696451, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""fear\"",\n  \""confidence\"": 0.8,\n  \""rationale\"": \""The text expresses a concern about the potential for fear of violence or scolding, indicating an emotional state related to fear.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 242, ""completion_tokens"": 50, ""total_tokens"": 292, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
emotion_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,emotion,train,0,classification,emotion_train_268,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,fear,sadness,0.8,False,249,44,293,6.375e-05,,"The text expresses feelings of unattainability and intimidation, which are associated with sadness.",,"{""id"": ""chatcmpl-E4JMbv6miR1FDU0zT7ANXFsOMqD2C"", ""object"": ""chat.completion"", ""created"": 1784696453, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""sadness\"",\n  \""confidence\"": 0.8,\n  \""rationale\"": \""The text expresses feelings of unattainability and intimidation, which are associated with sadness.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 249, ""completion_tokens"": 44, ""total_tokens"": 293, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_a17b1ca31d""}"
