dataset,target_f1,cost_scenario,cheapest_strategy,required_budget,estimated_cost,mean_macro_f1
ag_news,0.5,base,uncertainty_al,50,4.86,0.5869
ag_news,0.6,base,random,100,9.52,0.7867
ag_news,0.7,base,random,100,9.52,0.7867
ag_news,0.75,base,random,100,9.52,0.7867
ag_news,0.8,base,random,250,23.80,0.8332
banking77,0.5,base,random,1000,95.20,0.7388
banking77,0.6,base,random,1000,95.20,0.7388
banking77,0.7,base,random,1000,95.20,0.7388
banking77,0.75,base,,,,
banking77,0.8,base,,,,
emotion,0.5,base,,,,
emotion,0.6,base,,,,
emotion,0.7,base,,,,
emotion,0.75,base,,,,
emotion,0.8,base,,,,
financial_phrasebank,0.5,base,random,50,4.76,0.6022
financial_phrasebank,0.6,base,random,50,4.76,0.6022
financial_phrasebank,0.7,base,random,100,9.52,0.7015
financial_phrasebank,0.75,base,random,250,23.80,0.7802
financial_phrasebank,0.8,base,uncertainty_al,500,48.60,0.8384
rotten_tomatoes,0.5,base,random,50,4.76,0.5188
rotten_tomatoes,0.6,base,random,100,9.52,0.6575
rotten_tomatoes,0.7,base,random,250,23.80,0.7125
rotten_tomatoes,0.75,base,,,,
rotten_tomatoes,0.8,base,,,,
sst2,0.5,base,random,50,4.76,0.5723
sst2,0.6,base,diversity_al,50,4.91,0.6932
sst2,0.7,base,random,100,9.52,0.7078
sst2,0.75,base,random,250,23.80,0.7796
sst2,0.8,base,hybrid_al,1000,99.20,0.8008
trec,0.5,base,random,250,23.80,0.6007
trec,0.6,base,random,250,23.80,0.6007
trec,0.7,base,uncertainty_al,1000,97.20,0.7154
trec,0.75,base,,,,
trec,0.8,base,,,,
tweet_eval_sentiment,0.5,base,random,250,23.80,0.5202
tweet_eval_sentiment,0.6,base,,,,
tweet_eval_sentiment,0.7,base,,,,
tweet_eval_sentiment,0.75,base,,,,
tweet_eval_sentiment,0.8,base,,,,
twenty_newsgroups,0.5,base,random,500,47.60,0.5951
twenty_newsgroups,0.6,base,random,1000,95.20,0.6354
twenty_newsgroups,0.7,base,,,,
twenty_newsgroups,0.75,base,,,,
twenty_newsgroups,0.8,base,,,,
yelp_polarity,0.5,base,random,50,4.76,0.6601
yelp_polarity,0.6,base,random,50,4.76,0.6601
yelp_polarity,0.7,base,diversity_al,50,4.91,0.7754
yelp_polarity,0.75,base,diversity_al,50,4.91,0.7754
yelp_polarity,0.8,base,random,250,23.80,0.8210
