run_id,dataset_name,split,seed,task_type,example_id,difficulty_bucket,annotator_type,annotator_id,model_name,temperature,prompt_version,replicate_id,gold_label,predicted_label,confidence,correct,input_tokens,output_tokens,total_tokens,cost_usd,failure_category,rationale,notes,raw_response
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_28,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Sports,Sports,0.9,True,263,44,307,6.585e-05,,"The text discusses the Yankees, a baseball team, indicating it is related to sports news.",,"{""id"": ""chatcmpl-E4JK0UI55w0vpejfxv80JhvWNgUTc"", ""object"": ""chat.completion"", ""created"": 1784696292, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Sports\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text discusses the Yankees, a baseball team, indicating it is related to sports news.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 263, ""completion_tokens"": 44, ""total_tokens"": 307, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_52,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Business,Business,0.9,True,287,43,330,6.884999999999999e-05,,"The text discusses a lawsuit involving financial damages and auditors, which relates to business matters.",,"{""id"": ""chatcmpl-E4JK2WSEjWYZj2mz3nMFC0Ds8S66c"", ""object"": ""chat.completion"", ""created"": 1784696294, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text discusses a lawsuit involving financial damages and auditors, which relates to business matters.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 287, ""completion_tokens"": 43, ""total_tokens"": 330, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_72,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,World,Business,0.8,False,289,42,331,6.855e-05,,"The text discusses economic reforms in China, which relates to business and the economy.",,"{""id"": ""chatcmpl-E4JK4fcmQOEUnbtBbx11ZVc22U0x2"", ""object"": ""chat.completion"", ""created"": 1784696296, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.8,\n  \""rationale\"": \""The text discusses economic reforms in China, which relates to business and the economy.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 289, ""completion_tokens"": 42, ""total_tokens"": 331, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_107,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Sports,Sports,0.9,True,297,44,341,7.094999999999999e-05,,"The text discusses a marathon event and the performance of athletes, which falls under sports news.",,"{""id"": ""chatcmpl-E4JK61RmEEmog3JPt6jnit9JfGEWg"", ""object"": ""chat.completion"", ""created"": 1784696298, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Sports\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text discusses a marathon event and the performance of athletes, which falls under sports news.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 297, ""completion_tokens"": 44, ""total_tokens"": 341, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_137,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Sci/Tech,Business,0.85,False,295,46,341,7.185e-05,,"The text discusses changes in vending machine products and market development, which relates to business and consumer trends.",,"{""id"": ""chatcmpl-E4JK8HJBUuX8uTfalunni79PSFYSy"", ""object"": ""chat.completion"", ""created"": 1784696300, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text discusses changes in vending machine products and market development, which relates to business and consumer trends.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 295, ""completion_tokens"": 46, ""total_tokens"": 341, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_159,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Business,Business,0.85,True,265,49,314,6.915e-05,,"The text discusses the impact of oil prices on the U.S. economy, which relates to business and economic issues.",,"{""id"": ""chatcmpl-E4JK99uH6QBWTcLKtLGfJPrH8QLHv"", ""object"": ""chat.completion"", ""created"": 1784696301, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text discusses the impact of oil prices on the U.S. economy, which relates to business and economic issues.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 265, ""completion_tokens"": 49, ""total_tokens"": 314, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_161,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,World,World,0.85,True,273,48,321,6.974999999999999e-05,,"The text discusses a tragic event involving a French woman in London, which relates to world news and international affairs.",,"{""id"": ""chatcmpl-E4JKBLa5ViiLWHG9sNlrKfBgsI5s7"", ""object"": ""chat.completion"", ""created"": 1784696303, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""World\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text discusses a tragic event involving a French woman in London, which relates to world news and international affairs.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 273, ""completion_tokens"": 48, ""total_tokens"": 321, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_208,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Business,Business,0.85,True,276,46,322,6.9e-05,,"The text discusses Costco's expansion into the casket market, which relates to business and the economy.",,"{""id"": ""chatcmpl-E4JKDJeYV4xLZpB3cjGxC5m5LKITC"", ""object"": ""chat.completion"", ""created"": 1784696305, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text discusses Costco's expansion into the casket market, which relates to business and the economy.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 276, ""completion_tokens"": 46, ""total_tokens"": 322, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_252,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Sports,Sports,0.9,True,300,39,339,6.840000000000001e-05,,The text discusses a soccer match involving the US women's soccer team.,,"{""id"": ""chatcmpl-E4JKEvjBpYTpYMhrieEc4cdAUZdm5"", ""object"": ""chat.completion"", ""created"": 1784696306, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Sports\"",\n  \""confidence\"": 0.9,\n  \""rationale\"": \""The text discusses a soccer match involving the US women's soccer team.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 300, ""completion_tokens"": 39, ""total_tokens"": 339, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
ag_news_cost_sample_seed0_gpt-4o-mini_text_classification_v1_zero_shot_json,ag_news,train,0,classification,ag_news_train_296,,llm,gpt-4o-mini_temp0_rep0,gpt-4o-mini,0,text_classification_v1_zero_shot_json,0,Business,Business,0.85,True,262,45,307,6.63e-05,,"The text discusses the production forecast of an oil company, which relates to business and the economy.",,"{""id"": ""chatcmpl-E4JKGqH5GyvbhfE6C6KPskO2qeCcz"", ""object"": ""chat.completion"", ""created"": 1784696308, ""model"": ""gpt-4o-mini-2024-07-18"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\n  \""predicted_label\"": \""Business\"",\n  \""confidence\"": 0.85,\n  \""rationale\"": \""The text discusses the production forecast of an oil company, which relates to business and the economy.\""\n}"", ""refusal"": null, ""annotations"": []}, ""logprobs"": null, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 262, ""completion_tokens"": 45, ""total_tokens"": 307, ""prompt_tokens_details"": {""cached_tokens"": 0, ""audio_tokens"": 0}, ""completion_tokens_details"": {""reasoning_tokens"": 0, ""audio_tokens"": 0, ""accepted_prediction_tokens"": 0, ""rejected_prediction_tokens"": 0}}, ""service_tier"": ""default"", ""system_fingerprint"": ""fp_7ab7aec4da""}"
